"R0","N","schedule","p_free_20","p_free_50","se_free_20","se_free_50","p_extinct","se_mp20","se_mp50","mp20","mp50","reps","sq_pf20","sq_se_pf20","sq_mp20","sq_se_mp20","sq_mp50","sq_se_mp50","lf_mp20","lf_se_mp20","av_lo","av_hi","rel_lo","rel_hi","averted_20","averted_50","rel_to_lifelong","benefit_free_20","se_benefit_free_20","averted_ci_width","rel_ci_width"
1.2,5,"18-month immunity, annual whole-herd booster",0.9835,1,0.00284848644019942,0,0.1115,0.00166649094941996,0.000725345100126711,0.0595939618714695,0.0248239630635372,2000,0.929,0.0057427780733718,0.103425232805356,0.00310639482062482,0.046971690503646,0.00173806406440642,0.0708382354162163,0.00194511501394031,0.375735352044723,0.468558239095989,1.17190349325968,1.58410601582346,0.423796686214628,0.471512249242757,1.34505399225564,0.0545,0.00641041145325321,0.0928228870512656,0.412202522563781
1.2,5,"18-month immunity, calves only",0.9625,0.9995,0.00424816136699161,0.000499874984371065,0.113,0.00231524736806311,0.00111844147729335,0.0825355136117838,0.0350981782568735,2000,0.929,0.0057427780733718,0.103425232805356,0.00310639482062482,0.046971690503646,0.00173806406440642,0.0708382354162163,0.00194511501394031,0.135073225913105,0.262447175731488,0.462818118959313,0.810708968219257,0.201978942922817,0.252780177154808,0.641044614946146,0.0335,0.0071432748092174,0.127373949818383,0.347890849259944
1.2,5,"18-month immunity, six-monthly whole-herd booster",0.985,1,0.00271799558498538,0,0.126,0.001569121154397,0.000677129408643847,0.0563068764376699,0.0233305895864623,2000,0.929,0.0057427780733718,0.103425232805356,0.00310639482062482,0.046971690503646,0.00173806406440642,0.0708382354162163,0.00194511501394031,0.41085383183487,0.49741716788802,1.26495809375148,1.70646480948816,0.45557892488733,0.503305302911093,1.44592506652329,0.0559999999999999,0.0063535029708028,0.0865633360531505,0.441506715736682
1.2,5,"Lifelong immunity, calves only (paper assumption)",0.9785,1,0.00324328151722911,0,0.1035,0.00194511501394031,0.000803190789089081,0.0708382354162163,0.0286406763369518,2000,0.929,0.0057427780733718,0.103425232805356,0.00310639482062482,0.046971690503646,0.00173806406440642,0.0708382354162163,0.00194511501394031,0.257751486187403,0.367311081461085,0.845212374587641,1.18424474728669,0.315077824871495,0.390256641184148,1,0.0495,0.00659532978705386,0.109559595273682,0.339032372699051
1.2,10,"18-month immunity, annual whole-herd booster",0.963,1,0.00422084114839685,0,5e-04,0.00112024951085046,0.000471136275866196,0.0615155535954134,0.0249758820041737,2000,0.7745,0.00934477795348825,0.126413263594176,0.00271183981288406,0.0660771899147381,0.00181882859462993,0.070926980959608,0.00135148167444205,0.485664543004081,0.540003386155531,1.10292008386504,1.24499996476054,0.513377379505867,0.622019610149871,1.16961719036358,0.1885,0.0102537980768104,0.0543388431514503,0.142079880895505
1.2,10,"18-month immunity, calves only",0.888,0.997,0.00705180827873248,0.00122290637417588,0.0025,0.00184669276783213,0.000992266437889236,0.0914002895728702,0.0408403755584128,2000,0.7745,0.00934477795348825,0.126413263594176,0.00271183981288406,0.0660771899147381,0.00181882859462993,0.070926980959608,0.00135148167444205,0.233942004899319,0.317360660828156,0.549138033400298,0.709564111510685,0.276972313077112,0.381929291921908,0.63102035960673,0.1135,0.0117069584008828,0.0834186559288365,0.160426078110387
1.2,10,"18-month immunity, six-monthly whole-herd booster",0.962,1,0.00427527776875375,0,0,0.00106542633180908,0.000468650365012832,0.059186347265714,0.0243226999530317,2000,0.7745,0.00934477795348825,0.126413263594176,0.00271183981288406,0.0660771899147381,0.00181882859462993,0.070926980959608,0.00135148167444205,0.505023004243002,0.556389061438991,1.14407586281497,1.28928034788213,0.531802711337951,0.631904746790591,1.21159524726531,0.1875,0.010276325948509,0.0513660571959884,0.145204485067157
1.2,10,"Lifelong immunity, calves only (paper assumption)",0.9525,1,0.00475624589355933,0,0.003,0.00135148167444205,0.000574694800048609,0.070926980959608,0.0289114140744362,2000,0.7745,0.00934477795348825,0.126413263594176,0.00271183981288406,0.0660771899147381,0.00181882859462993,0.070926980959608,0.00135148167444205,0.406650157722129,0.469481046385003,0.934595051741575,1.06969025184113,0.43892769680162,0.562459993959464,1,0.178,0.0104855495802557,0.0628308886628742,0.135095200099554
1.2,20,"18-month immunity, annual whole-herd booster",0.9475,1,0.00498717104178311,0,0,0.000697806136988143,0.000293908521741869,0.0478624913809783,0.0194391211822525,2000,0.616,0.0108752930994985,0.119859051819441,0.0021748493554605,0.074537717386338,0.00182150659301877,0.0588844575918844,0.000898308118461836,0.582104538435177,0.618327684768686,1.13933836513064,1.22556347889499,0.600676872923377,0.73920423291879,1.18076325641089,0.3315,0.0119642749466903,0.0362231463335084,0.0862251137643504
1.2,20,"18-month immunity, calves only",0.784,0.989,0.00920173896608679,0.00233227356885937,0,0.00144124553032294,0.000829729167113792,0.0803004835514453,0.0374900629450094,2000,0.616,0.0108752930994985,0.119859051819441,0.0021748493554605,0.074537717386338,0.00182150659301877,0.0588844575918844,0.000898308118461836,0.295715601172213,0.362877063605942,0.591791797189364,0.702670350274156,0.33004239285647,0.497032317870779,0.648771324666198,0.168,0.0142458414984865,0.0671614624337291,0.110878553084793
1.2,20,"18-month immunity, six-monthly whole-herd booster",0.9615,1,0.00430219420761081,0,0,0.000673789838033334,0.000281270123711719,0.0457342037691751,0.0185183825790459,2000,0.616,0.0108752930994985,0.119859051819441,0.0021748493554605,0.074537717386338,0.00182150659301877,0.0588844575918844,0.000898308118461836,0.600392253620117,0.635457699762604,1.17317047227123,1.26170883695278,0.618433459342976,0.751556886521452,1.2156677545673,0.3455,0.0116953356086946,0.0350654461424866,0.0885383646815463
1.2,20,"Lifelong immunity, calves only (paper assumption)",0.923,1,0.00596116599332714,0,0,0.000898308118461836,0.000382772165044153,0.0588844575918844,0.024039014840381,2000,0.616,0.0108752930994985,0.119859051819441,0.0021748493554605,0.074537717386338,0.00182150659301877,0.0588844575918844,0.000898308118461836,0.485405947772182,0.530747606313289,0.96000729537611,1.04186477375194,0.508719143877515,0.677491937192229,1,0.307,0.0124019151746817,0.0453416585411069,0.0818574783758252
1.2,50,"18-month immunity, annual whole-herd booster",0.872,1,0.0074704752191544,0,0,0.000452006087790896,0.000191115562871271,0.0501321820897389,0.0203790056354287,2000,0.226,0.00935211206091971,0.146019020425168,0.00162290592605279,0.114365221967863,0.00172449264146464,0.0612390995135385,0.000562037197371182,0.646905964422789,0.666111205627672,1.11241345745572,1.15010015611877,0.656673617287888,0.821807667709024,1.13100882030047,0.646,0.0119695446864114,0.0192052412048829,0.0376866986630511
1.2,50,"18-month immunity, calves only",0.486,0.9455,0.0111759563349183,0.00507591124823908,0,0.000994975040200379,0.000657530624740046,0.0896350093917198,0.0446886293490783,2000,0.226,0.00935211206091971,0.146019020425168,0.00162290592605279,0.114365221967863,0.00172449264146464,0.0612390995135385,0.000562037197371182,0.366553250482947,0.404817034331283,0.63707814648051,0.692306216790485,0.386141551075149,0.60924633747805,0.665063265300992,0.26,0.0145727142289966,0.0382637838483358,0.0552280703099743
1.2,50,"18-month immunity, six-monthly whole-herd booster",0.859,0.9995,0.0077819984579798,0.000499874984371065,0,0.000437126924878069,0.000186378404440242,0.0482953574109043,0.0196387568061325,2000,0.226,0.00935211206091971,0.146019020425168,0.00162290592605279,0.114365221967863,0.00172449264146464,0.0612390995135385,0.000562037197371182,0.659834877827814,0.678431575727886,1.13415615337598,1.17176523045552,0.66925296944,0.828280341976243,1.15267461874759,0.633,0.0121664086730637,0.0185966979000728,0.0376090770795376
1.2,50,"Lifelong immunity, calves only (paper assumption)",0.817,1,0.00864612630025724,0,0,0.000562037197371182,0.000239287425364996,0.0612390995135385,0.0249791126312672,2000,0.226,0.00935211206091971,0.146019020425168,0.00162290592605279,0.114365221967863,0.00172449264146464,0.0612390995135385,0.000562037197371182,0.568739086566301,0.592260733366864,0.981994583832897,1.0186955823595,0.580608749906507,0.781584714291147,1,0.591,0.0127364634023735,0.0235216468005637,0.0367009985266012
1.2,100,"18-month immunity, annual whole-herd booster",0.722,0.9995,0.0100178840081127,0.000499874984371065,0,0.000326429561327432,0.000140202891918317,0.05374540218883,0.0218901458293574,2000,0.0335,0.00402354010791492,0.160809008391001,0.00117105558547128,0.143229302465951,0.00130678198588579,0.0666020284416835,0.000428190744351047,0.659427139150157,0.671860105089278,1.12381863659219,1.14935468313392,0.665781147918343,0.847167126750749,1.13647211979166,0.6885,0.0107956877965232,0.0124329659391209,0.025536046541732
1.2,100,"18-month immunity, calves only",0.218,0.851,0.00923244279700665,0.00796238029737339,0,0.000725955119060021,0.000534445817167448,0.0962444776329738,0.0497402360471763,2000,0.0335,0.00402354010791492,0.160809008391001,0.00117105558547128,0.143229302465951,0.00130678198588579,0.0666020284416835,0.000428190744351047,0.389063899369005,0.413832927548843,0.667219111626822,0.703339449915592,0.401498220802663,0.652723044860176,0.685347633400014,0.1845,0.0100710910531084,0.0247690281798382,0.0361203382887705
1.2,100,"18-month immunity, six-monthly whole-herd booster",0.75,1,0.00968245836551854,0,0,0.000318029736231587,0.000135553269857758,0.050943050484644,0.0207139132743794,2000,0.0335,0.00402354010791492,0.160809008391001,0.00117105558547128,0.143229302465951,0.00130678198588579,0.0666020284416835,0.000428190744351047,0.677147590179904,0.689005093132329,1.15338612338854,1.17946040668172,0.683207731989878,0.855379360802908,1.1662188721628,0.7165,0.0104851740567336,0.0118575029524247,0.0260742832931828
1.2,100,"Lifelong immunity, calves only (paper assumption)",0.582,0.999,0.0110289618731774,0.000706753139363385,0,0.000428190744351047,0.000182670512705467,0.0666020284416835,0.0272824455237696,2000,0.0335,0.00402354010791492,0.160809008391001,0.00117105558547128,0.143229302465951,0.00130678198588579,0.0666020284416835,0.000428190744351047,0.577770119686304,0.593618705495452,0.987333660058521,1.01277700807858,0.585831483521476,0.809519106397552,1,0.5485,0.011739969122617,0.0158485858091478,0.0254433480200587
1.2,200,"18-month immunity, annual whole-herd booster",0.527,0.999,0.0111640270512033,0.000706753139363385,0,0.000234336083840084,9.99613112565796e-05,0.0524485853453625,0.0213719461027648,2000,0.0015,0.000865375640979107,0.161734418397349,0.000808336142945826,0.154676842856458,0.00090987852202159,0.0643224262879718,0.000298207557896896,0.671471694993905,0.679946733913395,1.11353523765203,1.13044497732498,0.675711664436775,0.861828404898346,1.12189301014681,0.5255,0.0111975164657169,0.00847503891949042,0.016909739672951
1.2,200,"18-month immunity, calves only",0.051,0.6725,0.00491929873051027,0.0104938970358966,0,0.000516034770479113,0.000397803578956342,0.0934252742731251,0.0499375163512879,2000,0.0015,0.000865375640979107,0.161734418397349,0.000808336142945826,0.154676842856458,0.00090987852202159,0.0643224262879718,0.000298207557896896,0.413765172510142,0.430619562297935,0.688710802687082,0.713451218635926,0.422353787159898,0.677149368780235,0.701239576822577,0.0495,0.00499483483210406,0.0168543897877935,0.0247404159488439
1.2,200,"18-month immunity, six-monthly whole-herd booster",0.5455,0.9995,0.0111339514548969,0.000499874984371065,0,0.000217954740845664,9.22333364144594e-05,0.0494584462740623,0.0201231298334827,2000,0.0015,0.000865375640979107,0.161734418397349,0.000808336142945826,0.154676842856458,0.00090987852202159,0.0643224262879718,0.000298207557896896,0.690244496976559,0.698114954146536,1.14397123082846,1.16117762907608,0.694199622046107,0.869902116814233,1.15258881059757,0.544,0.0111675310610716,0.0078704571699767,0.017206398247618
1.2,200,"Lifelong immunity, calves only (paper assumption)",0.3835,0.9985,0.0108726204293169,0.000865375640979091,0,0.000298207557896896,0.000127541497542837,0.0643224262879718,0.0263073239680502,2000,0.0015,0.000865375640979107,0.161734418397349,0.000808336142945826,0.154676842856458,0.00090987852202159,0.0643224262879718,0.000298207557896896,0.596930508568638,0.607577089606262,0.991437912446393,1.0085116547527,0.60229599286687,0.829920733561496,1,0.382,0.0109070046300531,0.0106465810376241,0.0170737423063059
