"R0","N","yr","remaining"
1.5,10,0.00273972602739726,0.998485753849427
1.5,10,0.167123287671233,0.994838905931098
1.5,10,0.331506849315069,1.00339442916065
1.5,10,0.495890410958904,1.00252766925873
1.5,10,0.66027397260274,0.996233672728335
1.5,10,0.824657534246575,0.990208373089779
1.5,10,0.989041095890411,0.978672446837753
1.5,10,1.15342465753425,0.975476394959107
1.5,10,1.31780821917808,0.969028636318605
1.5,10,1.48219178082192,0.955694890953645
1.5,10,1.64657534246575,0.938674744327631
1.5,10,1.81095890410959,0.924174377247733
1.5,10,1.97534246575342,0.91373343328605
1.5,10,2.13972602739726,0.905906314971714
1.5,10,2.3041095890411,0.901993553436863
1.5,10,2.46849315068493,0.882857525656352
1.5,10,2.63287671232877,0.868349989167819
1.5,10,2.7972602739726,0.856426752724067
1.5,10,2.96164383561644,0.851129574109851
1.5,10,3.12602739726027,0.846794817849008
1.5,10,3.29041095890411,0.831460538652131
1.5,10,3.45479452054795,0.815725229759679
1.5,10,3.61917808219178,0.801231844846038
1.5,10,3.78356164383562,0.797715513763692
1.5,10,3.94794520547945,0.796148152844873
1.5,10,4.11232876712329,0.781659812233359
1.5,10,4.27671232876712,0.770889527168987
1.5,10,4.44109589041096,0.759550954542204
1.5,10,4.60547945205479,0.756442711532677
1.5,10,4.76986301369863,0.753474098951667
1.5,10,4.93424657534247,0.75561930959452
1.5,10,5.0986301369863,0.747182816152555
1.5,10,5.26301369863014,0.739880295230568
1.5,10,5.42739726027397,0.733629627239729
1.5,10,5.59178082191781,0.727775933563517
1.5,10,5.75616438356164,0.720141155921438
1.5,10,5.92054794520548,0.710770566599468
1.5,10,6.08493150684932,0.709774697045253
1.5,10,6.24931506849315,0.70231271791107
1.5,10,6.41369863013699,0.702931907742426
1.5,10,6.57808219178082,0.693883333167747
1.5,10,6.74246575342466,0.687009849122315
1.5,10,6.90684931506849,0.680289168138997
1.5,10,7.07123287671233,0.672379314722159
1.5,10,7.23561643835616,0.665140509524145
1.5,10,7.4,0.66055437881894
1.5,10,7.56438356164384,0.65349414443199
1.5,10,7.72876712328767,0.651041622084389
1.5,10,7.89315068493151,0.646544038860262
1.5,10,8.05753424657534,0.63571560132325
1.5,10,8.22191780821918,0.628147222894189
1.5,10,8.38630136986301,0.619909610827033
1.5,10,8.55068493150685,0.608669025902103
1.5,10,8.71506849315069,0.598968210834837
1.5,10,8.87945205479452,0.596125084270613
1.5,10,9.04383561643836,0.588496567881486
1.5,10,9.20821917808219,0.576274889470117
1.5,10,9.37260273972603,0.569912239937413
1.5,10,9.53698630136986,0.566498751669653
1.5,10,9.7013698630137,0.560093120498921
1.5,10,9.86575342465753,0.552743679792599
1.5,10,10.0301369863014,0.547584083278478
1.5,10,10.1945205479452,0.547103875958957
1.5,10,10.358904109589,0.543371802138131
1.5,10,10.5232876712329,0.535276643249007
1.5,10,10.6876712328767,0.537823319057359
1.5,10,10.8520547945205,0.531580553494571
1.5,10,11.0164383561644,0.530286935303857
1.5,10,11.1808219178082,0.528341266176522
1.5,10,11.3452054794521,0.529654099033695
1.5,10,11.5095890410959,0.530753492486126
1.5,10,11.6739726027397,0.520856328421984
1.5,10,11.8383561643836,0.513550509764231
1.5,10,12.0027397260274,0.514320593667382
1.5,10,12.1671232876712,0.51180992355974
1.5,10,12.3315068493151,0.510977041126285
1.5,10,12.4958904109589,0.50698698733212
1.5,10,12.6602739726027,0.499989668438132
1.5,10,12.8246575342466,0.488919111467566
1.5,10,12.9890410958904,0.487259517643415
1.5,10,13.1534246575342,0.479425749558301
1.5,10,13.3178082191781,0.474709684758019
1.5,10,13.4821917808219,0.47424685201463
1.5,10,13.6465753424658,0.467556394635002
1.5,10,13.8109589041096,0.458170688431088
1.5,10,13.9753424657534,0.455388348010302
1.5,10,14.1397260273973,0.457071952581144
1.5,10,14.3041095890411,0.451622750184924
1.5,10,14.4684931506849,0.440103602039532
1.5,10,14.6328767123288,0.435896886259721
1.5,10,14.7972602739726,0.43528717069197
1.5,10,14.9616438356164,0.432639275716283
1.5,10,15.1260273972603,0.42385003009019
1.5,10,15.2904109589041,0.419207332600501
1.5,10,15.4547945205479,0.415674492438147
1.5,10,15.6191780821918,0.413875504559892
1.5,10,15.7835616438356,0.410876510203536
1.5,10,15.9479452054795,0.409961020039165
1.5,10,16.1123287671233,0.405964005725068
1.5,10,16.2767123287671,0.406992859297397
1.5,10,16.441095890411,0.409416653380576
1.5,10,16.6054794520548,0.398769515159705
1.5,10,16.7698630136986,0.399515662659369
1.5,10,16.9342465753425,0.402359529335514
1.5,10,17.0986301369863,0.403239119794596
1.5,10,17.2630136986301,0.397397935464758
1.5,10,17.427397260274,0.394774995439492
1.5,10,17.5917808219178,0.391910947001428
1.5,10,17.7561643835616,0.390961371098176
1.5,10,17.9205479452055,0.374996069004936
1.5,10,18.0849315068493,0.380564016209834
1.5,10,18.2493150684931,0.373337586947731
1.5,10,18.413698630137,0.367688927276493
1.5,10,18.5780821917808,0.362610871244066
1.5,10,18.7424657534247,0.356055202025787
1.5,10,18.9068493150685,0.353651586335429
1.5,10,19.0712328767123,0.346522725656333
1.5,10,19.2356164383562,0.341461361668115
1.5,10,19.4,0.343306221439865
1.5,10,19.5643835616438,0.340335563304939
1.5,10,19.7287671232877,0.345674996357252
1.5,10,19.8931506849315,0.345695870600578
1.5,10,20.0575342465753,0.34355352868515
1.5,10,20.2219178082192,0.338837749766201
1.5,10,20.386301369863,0.342247381862624
1.5,10,20.5506849315069,0.338129379657727
1.5,10,20.7150684931507,0.339030567319607
1.5,10,20.8794520547945,0.339947321768894
1.5,10,21.0438356164384,0.333565187144159
1.5,10,21.2082191780822,0.324061443385682
1.5,10,21.372602739726,0.323657386685167
1.5,10,21.5369863013699,0.319340573711351
1.5,10,21.7013698630137,0.313452379709635
1.5,10,21.8657534246575,0.309098986133321
1.5,10,22.0301369863014,0.30386792267643
1.5,10,22.1945205479452,0.293659763132994
1.5,10,22.358904109589,0.295165043792334
1.5,10,22.5232876712329,0.295526728415731
1.5,10,22.6876712328767,0.297158215488933
1.5,10,22.8520547945205,0.298545625487003
1.5,10,23.0164383561644,0.298061911009693
1.5,10,23.1808219178082,0.296223867335231
1.5,10,23.3452054794521,0.292259791207493
1.5,10,23.5095890410959,0.288777022549171
1.5,10,23.6739726027397,0.282587467703608
1.5,10,23.8383561643836,0.278789293996327
1.5,10,24.0027397260274,0.270468366675809
1.5,10,24.1671232876712,0.2640097880663
1.5,10,24.3315068493151,0.260402034940162
1.5,10,24.4958904109589,0.265522955895296
1.5,10,24.6602739726027,0.259952019833947
1.5,10,24.8246575342466,0.258430890609152
1.5,10,24.9890410958904,0.253876014821934
1.5,10,25.1534246575342,0.251192266642589
1.5,10,25.3178082191781,0.248531589265658
1.5,10,25.4821917808219,0.244721190247774
1.5,10,25.6465753424658,0.236943845214556
1.5,10,25.8109589041096,0.236310278595267
1.5,10,25.9753424657534,0.234348398168327
1.5,10,26.1397260273973,0.232977192657466
1.5,10,26.3041095890411,0.23197790149351
1.5,10,26.4684931506849,0.234301556541202
1.5,10,26.6328767123288,0.235999674790995
1.5,10,26.7972602739726,0.236339938257457
1.5,10,26.9616438356164,0.231260662345092
1.5,10,27.1260273972603,0.226120442188772
1.5,10,27.2904109589041,0.220631995854541
1.5,10,27.4547945205479,0.215776354808497
1.5,10,27.6191780821918,0.214536789826982
1.5,10,27.7835616438356,0.210358837676694
1.5,10,27.9479452054795,0.214024275446509
1.5,10,28.1123287671233,0.207986218222608
1.5,10,28.2767123287671,0.204823649029536
1.5,10,28.441095890411,0.20528566203099
1.5,10,28.6054794520548,0.206138059122468
1.5,10,28.7698630136986,0.203506120094535
1.5,10,28.9342465753425,0.200307467289707
1.5,10,29.0986301369863,0.200932696914292
1.5,10,29.2630136986301,0.196399586956046
1.5,10,29.427397260274,0.187076432804747
1.5,10,29.5917808219178,0.18837383025624
1.5,10,29.7561643835616,0.188559050138053
1.5,10,29.9205479452055,0.198422320027102
1.5,10,30.0849315068493,0.198792013750394
1.5,10,30.2493150684931,0.200337169973421
1.5,10,30.413698630137,0.193844305995793
1.5,10,30.5780821917808,0.194947883704565
1.5,10,30.7424657534247,0.183569646459534
1.5,10,30.9068493150685,0.18081107591449
1.5,10,31.0712328767123,0.185446236952817
1.5,10,31.2356164383562,0.180163016341783
1.5,10,31.4,0.169590095550582
1.5,10,31.5643835616438,0.163518233387693
1.5,10,31.7287671232877,0.159969411790479
1.5,10,31.8931506849315,0.15927914439923
1.5,10,32.0575342465753,0.161705092539551
1.5,10,32.2219178082192,0.160721678382387
1.5,10,32.386301369863,0.15780791321169
1.5,10,32.5506849315069,0.153100689360085
1.5,10,32.7150684931507,0.151133856113006
1.5,10,32.8794520547945,0.151676421101885
1.5,10,33.0438356164384,0.154110000546818
1.5,10,33.2082191780822,0.151850635253419
1.5,10,33.372602739726,0.14802415368257
