"R0","N","yr","p_free_vx"
1.5,10,12.1671232876712,0.5875
1.5,10,12.3315068493151,0.594
1.5,10,12.4958904109589,0.601
1.5,10,12.6602739726027,0.608
1.5,10,12.8246575342466,0.6135
1.5,10,12.9890410958904,0.619
1.5,10,13.1534246575342,0.6255
1.5,10,13.3178082191781,0.6305
1.5,10,13.4821917808219,0.6345
1.5,10,13.6465753424658,0.639
1.5,10,13.8109589041096,0.646
1.5,10,13.9753424657534,0.6505
1.5,10,14.1397260273973,0.653
1.5,10,14.3041095890411,0.659
1.5,10,14.4684931506849,0.665
1.5,10,14.6328767123288,0.668
1.5,10,14.7972602739726,0.673
1.5,10,14.9616438356164,0.678
1.5,10,15.1260273972603,0.6805
1.5,10,15.2904109589041,0.6845
1.5,10,15.4547945205479,0.6885
1.5,10,15.6191780821918,0.6965
1.5,10,15.7835616438356,0.701
1.5,10,15.9479452054795,0.7065
1.5,10,16.1123287671233,0.709
1.5,10,16.2767123287671,0.7145
1.5,10,16.441095890411,0.718
1.5,10,16.6054794520548,0.7225
1.5,10,16.7698630136986,0.728
1.5,10,16.9342465753425,0.7315
1.5,10,17.0986301369863,0.734
1.5,10,17.2630136986301,0.736
1.5,10,17.427397260274,0.74
1.5,10,17.5917808219178,0.7445
1.5,10,17.7561643835616,0.7485
1.5,10,17.9205479452055,0.75
1.5,10,18.0849315068493,0.75287643821911
1.5,10,18.2493150684931,0.758
1.5,10,18.413698630137,0.763
1.5,10,18.5780821917808,0.7675
1.5,10,18.7424657534247,0.7725
1.5,10,18.9068493150685,0.777
1.5,10,19.0712328767123,0.7805
1.5,10,19.2356164383562,0.783
1.5,10,19.4,0.787
1.5,10,19.5643835616438,0.789
1.5,10,19.7287671232877,0.79
1.5,10,19.8931506849315,0.7925
1.5,10,20.0575342465753,0.7945
1.5,10,20.2219178082192,0.797
1.5,10,20.386301369863,0.799
1.5,10,20.5506849315069,0.8015
1.5,10,20.7150684931507,0.803
1.5,10,20.8794520547945,0.806
1.5,10,21.0438356164384,0.809
1.5,10,21.2082191780822,0.8155
1.5,10,21.372602739726,0.819
1.5,10,21.5369863013699,0.822
1.5,10,21.7013698630137,0.824412206103052
1.5,10,21.8657534246575,0.828
1.5,10,22.0301369863014,0.8325
1.5,10,22.1945205479452,0.835
1.5,10,22.358904109589,0.839
1.5,10,22.5232876712329,0.8415
1.5,10,22.6876712328767,0.8425
1.5,10,22.8520547945205,0.8455
1.5,10,23.0164383561644,0.8475
1.5,10,23.1808219178082,0.85
1.5,10,23.3452054794521,0.8515
1.5,10,23.5095890410959,0.853
1.5,10,23.6739726027397,0.8555
1.5,10,23.8383561643836,0.8595
1.5,10,24.0027397260274,0.8615
1.5,10,24.1671232876712,0.865
1.5,10,24.3315068493151,0.867
1.5,10,24.4958904109589,0.8675
1.5,10,24.6602739726027,0.8685
1.5,10,24.8246575342466,0.8715
1.5,10,24.9890410958904,0.874
