"parameter","value","herd","R0","T_elim","R_v"
"direct",0.45,"R0 25th pct (2.0)",1.99157647802648,39.0774590348408,0.284795436357787
"direct",0.45,"R0 median (2.8)",2.80808526201542,45.7524574036385,0.401556192468205
"direct",0.45,"R0 75th pct (4.1)",4.12642819800479,61.420748270184,0.590079232314685
"direct",0.45,"R0 90th pct (9.1)",9.1455004281937,Inf,1.3078065612317
"direct",0.475,"R0 25th pct (2.0)",1.99157647802648,38.4642244134312,0.271850189250614
"direct",0.475,"R0 median (2.8)",2.80808526201542,44.6683052840535,0.383303638265105
"direct",0.475,"R0 75th pct (4.1)",4.12642819800479,58.5267981210922,0.563257449027654
"direct",0.475,"R0 90th pct (9.1)",9.1455004281937,Inf,1.24836080844844
"direct",0.5,"R0 25th pct (2.0)",1.99157647802648,37.861597503765,0.258904942143442
"direct",0.5,"R0 median (2.8)",2.80808526201542,43.6308988414745,0.365051084062005
"direct",0.5,"R0 75th pct (4.1)",4.12642819800479,55.9224308213211,0.536435665740623
"direct",0.5,"R0 90th pct (9.1)",9.1455004281937,Inf,1.18891505566518
"direct",0.525,"R0 25th pct (2.0)",1.99157647802648,37.2682294042972,0.24595969503627
"direct",0.525,"R0 median (2.8)",2.80808526201542,42.635447257025,0.346798529858904
"direct",0.525,"R0 75th pct (4.1)",4.12642819800479,53.5624428402642,0.509613882453592
"direct",0.525,"R0 90th pct (9.1)",9.1455004281937,Inf,1.12946930288192
"direct",0.55,"R0 25th pct (2.0)",1.99157647802648,36.6826718578511,0.233014447929098
"direct",0.55,"R0 median (2.8)",2.80808526201542,41.6774796012091,0.328545975655804
"direct",0.55,"R0 75th pct (4.1)",4.12642819800479,51.4102140555845,0.48279209916656
"direct",0.55,"R0 90th pct (9.1)",9.1455004281937,Inf,1.07002355009866
"direct",0.575,"R0 25th pct (2.0)",1.99157647802648,36.1035112313227,0.220069200821926
"direct",0.575,"R0 median (2.8)",2.80808526201542,40.7527780784431,0.310293421452704
"direct",0.575,"R0 75th pct (4.1)",4.12642819800479,49.4356109008517,0.455970315879529
"direct",0.575,"R0 90th pct (9.1)",9.1455004281937,Inf,1.0105777973154
"direct",0.6,"R0 25th pct (2.0)",1.99157647802648,35.5292589196657,0.207123953714754
"direct",0.6,"R0 median (2.8)",2.80808526201542,39.8572722745635,0.292040867249604
"direct",0.6,"R0 75th pct (4.1)",4.12642819800479,47.6134498994788,0.429148532592498
"direct",0.6,"R0 90th pct (9.1)",9.1455004281937,Inf,0.951132044532145
"direct",0.625,"R0 25th pct (2.0)",1.99157647802648,34.9583087360238,0.194178706607582
"direct",0.625,"R0 median (2.8)",2.80808526201542,38.9870833176022,0.273788313046503
"direct",0.625,"R0 75th pct (4.1)",4.12642819800479,45.9223565281194,0.402326749305467
"direct",0.625,"R0 90th pct (9.1)",9.1455004281937,167.697874957984,0.891686291748886
"direct",0.65,"R0 25th pct (2.0)",1.99157647802648,34.3889871569253,0.18123345950041
"direct",0.65,"R0 median (2.8)",2.80808526201542,38.1382917512939,0.255535758843403
"direct",0.65,"R0 75th pct (4.1)",4.12642819800479,44.3438811605446,0.375504966018436
"direct",0.65,"R0 90th pct (9.1)",9.1455004281937,120.695081442456,0.832240538965627
"direct",0.675,"R0 25th pct (2.0)",1.99157647802648,33.8194955879675,0.168288212393238
"direct",0.675,"R0 median (2.8)",2.80808526201542,37.3070442601937,0.237283204640303
"direct",0.675,"R0 75th pct (4.1)",4.12642819800479,42.861816548161,0.348683182731405
"direct",0.675,"R0 90th pct (9.1)",9.1455004281937,96.0121576133382,0.772794786182368
"direct",0.7,"R0 25th pct (2.0)",1.99157647802648,33.247836949503,0.155342965286065
"direct",0.7,"R0 median (2.8)",2.80808526201542,36.4893283990923,0.219030650437203
"direct",0.7,"R0 75th pct (4.1)",4.12642819800479,41.461635519107,0.321861399444374
"direct",0.7,"R0 90th pct (9.1)",9.1455004281937,80.5581972820937,0.713349033399109
"direct",0.725,"R0 25th pct (2.0)",1.99157647802648,32.6717338497304,0.142397718178893
"direct",0.725,"R0 median (2.8)",2.80808526201542,35.6809075142144,0.200778096234102
"direct",0.725,"R0 75th pct (4.1)",4.12642819800479,40.1299786526269,0.295039616157342
"direct",0.725,"R0 90th pct (9.1)",9.1455004281937,69.8591546653002,0.65390328061585
"direct",0.75,"R0 25th pct (2.0)",1.99157647802648,32.0887216693715,0.129452471071721
"direct",0.75,"R0 median (2.8)",2.80808526201542,34.8772709031562,0.182525542031002
"direct",0.75,"R0 75th pct (4.1)",4.12642819800479,38.8542566009272,0.268217832870311
"direct",0.75,"R0 90th pct (9.1)",9.1455004281937,61.9481253948797,0.594457527832591
"direct",0.775,"R0 25th pct (2.0)",1.99157647802648,31.4959041126673,0.116507223964549
"direct",0.775,"R0 median (2.8)",2.80808526201542,34.0733776878959,0.164272987827902
"direct",0.775,"R0 75th pct (4.1)",4.12642819800479,37.6221373023818,0.24139604958328
"direct",0.775,"R0 90th pct (9.1)",9.1455004281937,55.8166780309163,0.535011775049332
"direct",0.8,"R0 25th pct (2.0)",1.99157647802648,30.8898293399375,0.103561976857377
"direct",0.8,"R0 median (2.8)",2.80808526201542,33.2634677317843,0.146020433624802
"direct",0.8,"R0 75th pct (4.1)",4.12642819800479,36.4210610389751,0.214574266296249
"direct",0.8,"R0 90th pct (9.1)",9.1455004281937,50.8885984541596,0.475566022266072
"direct",0.825,"R0 25th pct (2.0)",1.99157647802648,30.2665482498254,0.0906167297502048
"direct",0.825,"R0 median (2.8)",2.80808526201542,32.4407083893176,0.127767879421702
"direct",0.825,"R0 75th pct (4.1)",4.12642819800479,35.2375839393678,0.187752483009218
"direct",0.825,"R0 90th pct (9.1)",9.1455004281937,46.8048291182182,0.416120269482813
"direct",0.85,"R0 25th pct (2.0)",1.99157647802648,29.6211238677435,0.0776714826430327
"direct",0.85,"R0 median (2.8)",2.80808526201542,31.5968546347446,0.109515325218601
"direct",0.85,"R0 75th pct (4.1)",4.12642819800479,34.0564246784652,0.160930699722187
"direct",0.85,"R0 90th pct (9.1)",9.1455004281937,43.3232528131997,0.356674516699554
"direct",0.875,"R0 25th pct (2.0)",1.99157647802648,28.9476319160351,0.0647262355358606
"direct",0.875,"R0 median (2.8)",2.80808526201542,30.7214905472931,0.0912627710155012
"direct",0.875,"R0 75th pct (4.1)",4.12642819800479,32.8592104917821,0.134108916435156
"direct",0.875,"R0 90th pct (9.1)",9.1455004281937,40.2663920294122,0.297228763916295
"direct",0.9,"R0 25th pct (2.0)",1.99157647802648,28.2385856080079,0.0517809884286885
"direct",0.9,"R0 median (2.8)",2.80808526201542,29.8009923461142,0.0730102168124009
"direct",0.9,"R0 75th pct (4.1)",4.12642819800479,31.6221619507313,0.107287133148125
"direct",0.9,"R0 90th pct (9.1)",9.1455004281937,37.489546964562,0.237783011133036
"direct",0.925,"R0 25th pct (2.0)",1.99157647802648,27.4845129895881,0.0388357413215163
"direct",0.925,"R0 median (2.8)",2.80808526201542,28.8170281372067,0.0547576626093007
"direct",0.925,"R0 75th pct (4.1)",4.12642819800479,30.3122331139113,0.0804653498610934
"direct",0.925,"R0 90th pct (9.1)",9.1455004281937,34.8547234880746,0.178337258349777
"direct",0.95,"R0 25th pct (2.0)",1.99157647802648,26.6732807703876,0.0258904942143443
"direct",0.95,"R0 median (2.8)",2.80808526201542,27.7439390510799,0.0365051084062005
"direct",0.95,"R0 75th pct (4.1)",4.12642819800479,28.8798436506888,0.0536435665740623
"direct",0.95,"R0 90th pct (9.1)",9.1455004281937,32.1952106481026,0.118891505566518
"indirect",0,"R0 25th pct (2.0)",1.99157647802648,112.970343006075,0.836462120771122
"indirect",0,"R0 median (2.8)",2.80808526201542,Inf,1.17939581004648
"indirect",0,"R0 75th pct (4.1)",4.12642819800479,Inf,1.73309984316201
"indirect",0,"R0 90th pct (9.1)",9.1455004281937,Inf,3.84111017984136
"indirect",0.025,"R0 25th pct (2.0)",1.99157647802648,102.664405493645,0.815550567751844
"indirect",0.025,"R0 median (2.8)",2.80808526201542,Inf,1.14991091479531
"indirect",0.025,"R0 75th pct (4.1)",4.12642819800479,Inf,1.68977234708296
"indirect",0.025,"R0 90th pct (9.1)",9.1455004281937,Inf,3.74508242534532
"indirect",0.05,"R0 25th pct (2.0)",1.99157647802648,94.2723677909589,0.794639014732566
"indirect",0.05,"R0 median (2.8)",2.80808526201542,Inf,1.12042601954415
"indirect",0.05,"R0 75th pct (4.1)",4.12642819800479,Inf,1.64644485100391
"indirect",0.05,"R0 90th pct (9.1)",9.1455004281937,Inf,3.64905467084929
"indirect",0.075,"R0 25th pct (2.0)",1.99157647802648,87.3018308100426,0.773727461713288
"indirect",0.075,"R0 median (2.8)",2.80808526201542,Inf,1.09094112429299
"indirect",0.075,"R0 75th pct (4.1)",4.12642819800479,Inf,1.60311735492486
"indirect",0.075,"R0 90th pct (9.1)",9.1455004281937,Inf,3.55302691635325
"indirect",0.1,"R0 25th pct (2.0)",1.99157647802648,81.4176167467246,0.75281590869401
"indirect",0.1,"R0 median (2.8)",2.80808526201542,Inf,1.06145622904183
"indirect",0.1,"R0 75th pct (4.1)",4.12642819800479,Inf,1.55978985884581
"indirect",0.1,"R0 90th pct (9.1)",9.1455004281937,Inf,3.45699916185722
"indirect",0.125,"R0 25th pct (2.0)",1.99157647802648,76.3833276407053,0.731904355674731
"indirect",0.125,"R0 median (2.8)",2.80808526201542,Inf,1.03197133379067
"indirect",0.125,"R0 75th pct (4.1)",4.12642819800479,Inf,1.51646236276676
"indirect",0.125,"R0 90th pct (9.1)",9.1455004281937,Inf,3.36097140736119
"indirect",0.15,"R0 25th pct (2.0)",1.99157647802648,72.0272646001821,0.710992802655453
"indirect",0.15,"R0 median (2.8)",2.80808526201542,Inf,1.00248643853951
"indirect",0.15,"R0 75th pct (4.1)",4.12642819800479,Inf,1.47313486668771
"indirect",0.15,"R0 90th pct (9.1)",9.1455004281937,Inf,3.26494365286515
"indirect",0.175,"R0 25th pct (2.0)",1.99157647802648,68.2216063892818,0.690081249636175
"indirect",0.175,"R0 median (2.8)",2.80808526201542,Inf,0.973001543288343
"indirect",0.175,"R0 75th pct (4.1)",4.12642819800479,Inf,1.42980737060866
"indirect",0.175,"R0 90th pct (9.1)",9.1455004281937,Inf,3.16891589836912
"indirect",0.2,"R0 25th pct (2.0)",1.99157647802648,64.8691672014249,0.669169696616897
"indirect",0.2,"R0 median (2.8)",2.80808526201542,Inf,0.943516648037181
"indirect",0.2,"R0 75th pct (4.1)",4.12642819800479,Inf,1.38647987452961
"indirect",0.2,"R0 90th pct (9.1)",9.1455004281937,Inf,3.07288814387308
"indirect",0.225,"R0 25th pct (2.0)",1.99157647802648,61.8946972873324,0.648258143597619
"indirect",0.225,"R0 median (2.8)",2.80808526201542,192.10445377048,0.91403175278602
"indirect",0.225,"R0 75th pct (4.1)",4.12642819800479,Inf,1.34315237845056
"indirect",0.225,"R0 90th pct (9.1)",9.1455004281937,Inf,2.97686038937705
"indirect",0.25,"R0 25th pct (2.0)",1.99157647802648,59.2390005089438,0.627346590578341
"indirect",0.25,"R0 median (2.8)",2.80808526201542,153.021675527521,0.884546857534858
"indirect",0.25,"R0 75th pct (4.1)",4.12642819800479,Inf,1.29982488237151
"indirect",0.25,"R0 90th pct (9.1)",9.1455004281937,Inf,2.88083263488102
"indirect",0.275,"R0 25th pct (2.0)",1.99157647802648,56.8548528443725,0.606435037559063
"indirect",0.275,"R0 median (2.8)",2.80808526201542,128.244935518201,0.855061962283695
"indirect",0.275,"R0 75th pct (4.1)",4.12642819800479,Inf,1.25649738629246
"indirect",0.275,"R0 90th pct (9.1)",9.1455004281937,Inf,2.78480488038498
"indirect",0.3,"R0 25th pct (2.0)",1.99157647802648,54.7040968179535,0.585523484539785
"indirect",0.3,"R0 median (2.8)",2.80808526201542,111.032733607559,0.825577067032534
"indirect",0.3,"R0 75th pct (4.1)",4.12642819800479,Inf,1.21316989021341
"indirect",0.3,"R0 90th pct (9.1)",9.1455004281937,Inf,2.68877712588895
"indirect",0.325,"R0 25th pct (2.0)",1.99157647802648,52.7555585497966,0.564611931520507
"indirect",0.325,"R0 median (2.8)",2.80808526201542,98.3359342308277,0.796092171781372
"indirect",0.325,"R0 75th pct (4.1)",4.12642819800479,Inf,1.16984239413436
"indirect",0.325,"R0 90th pct (9.1)",9.1455004281937,Inf,2.59274937139292
"indirect",0.35,"R0 25th pct (2.0)",1.99157647802648,50.983500965412,0.543700378501229
"indirect",0.35,"R0 median (2.8)",2.80808526201542,88.5638249575842,0.76660727653021
"indirect",0.35,"R0 75th pct (4.1)",4.12642819800479,Inf,1.12651489805531
"indirect",0.35,"R0 90th pct (9.1)",9.1455004281937,Inf,2.49672161689688
"indirect",0.375,"R0 25th pct (2.0)",1.99157647802648,49.3664718547041,0.522788825481951
"indirect",0.375,"R0 median (2.8)",2.80808526201542,80.8013023725359,0.737122381279048
"indirect",0.375,"R0 75th pct (4.1)",4.12642819800479,Inf,1.08318740197626
"indirect",0.375,"R0 90th pct (9.1)",9.1455004281937,Inf,2.40069386240085
"indirect",0.4,"R0 25th pct (2.0)",1.99157647802648,47.8864333031373,0.501877272462673
"indirect",0.4,"R0 median (2.8)",2.80808526201542,74.4829058232919,0.707637486027886
"indirect",0.4,"R0 75th pct (4.1)",4.12642819800479,Inf,1.03985990589721
"indirect",0.4,"R0 90th pct (9.1)",9.1455004281937,Inf,2.30466610790481
"indirect",0.425,"R0 25th pct (2.0)",1.99157647802648,46.5280946207165,0.480965719443395
"indirect",0.425,"R0 median (2.8)",2.80808526201542,69.2395891237174,0.678152590776724
"indirect",0.425,"R0 75th pct (4.1)",4.12642819800479,Inf,0.996532409818157
"indirect",0.425,"R0 90th pct (9.1)",9.1455004281937,Inf,2.20863835340878
"indirect",0.45,"R0 25th pct (2.0)",1.99157647802648,45.2783917001116,0.460054166424117
"indirect",0.45,"R0 median (2.8)",2.80808526201542,64.8198517522757,0.648667695525562
"indirect",0.45,"R0 75th pct (4.1)",4.12642819800479,Inf,0.953204913739107
"indirect",0.45,"R0 90th pct (9.1)",9.1455004281937,Inf,2.11261059891275
"indirect",0.475,"R0 25th pct (2.0)",1.99157647802648,44.1260832042616,0.439142613404839
"indirect",0.475,"R0 median (2.8)",2.80808526201542,61.0461705151936,0.6191828002744
"indirect",0.475,"R0 75th pct (4.1)",4.12642819800479,188.383213248242,0.909877417660056
"indirect",0.475,"R0 90th pct (9.1)",9.1455004281937,Inf,2.01658284441671
"indirect",0.5,"R0 25th pct (2.0)",1.99157647802648,43.0614370666279,0.418231060385561
