"parameter","value","herd","R0","T_elim","R_v"
"duration",1,"R0 25th pct (2.0)",1.99157647802648,Inf,1.61090439951927
"duration",1,"R0 median (2.8)",2.80808526201542,Inf,2.27134481287326
"duration",1,"R0 75th pct (4.1)",4.12642819800479,Inf,3.33769825653559
"duration",1,"R0 90th pct (9.1)",9.1455004281937,Inf,7.39741960106976
"duration",1.5,"R0 25th pct (2.0)",1.99157647802648,Inf,1.47589397259214
"duration",1.5,"R0 median (2.8)",2.80808526201542,Inf,2.08098265793953
"duration",1.5,"R0 75th pct (4.1)",4.12642819800479,Inf,3.05796466917729
"duration",1.5,"R0 90th pct (9.1)",9.1455004281937,Inf,6.77743943415387
"duration",2,"R0 25th pct (2.0)",1.99157647802648,Inf,1.36473515761369
"duration",2,"R0 median (2.8)",2.80808526201542,Inf,1.92425082588184
"duration",2,"R0 75th pct (4.1)",4.12642819800479,Inf,2.82765020541218
"duration",2,"R0 90th pct (9.1)",9.1455004281937,Inf,6.26698803989442
"duration",2.5,"R0 25th pct (2.0)",1.99157647802648,Inf,1.27162033945744
"duration",2.5,"R0 median (2.8)",2.80808526201542,Inf,1.79296068893519
"duration",2.5,"R0 75th pct (4.1)",4.12642819800479,Inf,2.63472183156796
"duration",2.5,"R0 90th pct (9.1)",9.1455004281937,Inf,5.83939632111542
"duration",3,"R0 25th pct (2.0)",1.99157647802648,Inf,1.19248581845116
"duration",3,"R0 median (2.8)",2.80808526201542,Inf,1.6813825072253
"duration",3,"R0 75th pct (4.1)",4.12642819800479,Inf,2.47075980323577
"duration",3,"R0 90th pct (9.1)",9.1455004281937,Inf,5.47600339910974
"duration",3.5,"R0 25th pct (2.0)",1.99157647802648,Inf,1.12440293808384
"duration",3.5,"R0 median (2.8)",2.80808526201542,Inf,1.58538693032208
"duration",3.5,"R0 75th pct (4.1)",4.12642819800479,Inf,2.32969611803524
"duration",3.5,"R0 90th pct (9.1)",9.1455004281937,Inf,5.16336061665983
"duration",4,"R0 25th pct (2.0)",1.99157647802648,Inf,1.06520766099926
"duration",4,"R0 median (2.8)",2.80808526201542,Inf,1.50192270637883
"duration",4,"R0 75th pct (4.1)",4.12642819800479,Inf,2.2070470190699
"duration",4,"R0 90th pct (9.1)",9.1455004281937,Inf,4.89153051729024
"duration",4.5,"R0 25th pct (2.0)",1.99157647802648,Inf,1.01326632307705
"duration",4.5,"R0 median (2.8)",2.80808526201542,Inf,1.42868639980563
"duration",4.5,"R0 75th pct (4.1)",4.12642819800479,Inf,2.09942765129313
"duration",4.5,"R0 90th pct (9.1)",9.1455004281937,Inf,4.65301116669054
"duration",5,"R0 25th pct (2.0)",1.99157647802648,Inf,0.967322531013151
"duration",5,"R0 median (2.8)",2.80808526201542,Inf,1.3639065197462
"duration",5,"R0 75th pct (4.1)",4.12642819800479,Inf,2.00423484238648
"duration",5,"R0 90th pct (9.1)",9.1455004281937,Inf,4.44203309247187
"duration",5.5,"R0 25th pct (2.0)",1.99157647802648,191.021668262582,0.926394200249525
"duration",5.5,"R0 median (2.8)",2.80808526201542,Inf,1.30619834550118
"duration",5.5,"R0 75th pct (4.1)",4.12642819800479,Inf,1.91943377146419
"duration",5.5,"R0 90th pct (9.1)",9.1455004281937,Inf,4.25408647297026
"duration",6,"R0 25th pct (2.0)",1.99157647802648,141.452360052398,0.88970256727229
"duration",6,"R0 median (2.8)",2.80808526201542,Inf,1.25446383520773
"duration",6,"R0 75th pct (4.1)",4.12642819800479,Inf,1.84341088677028
"duration",6,"R0 90th pct (9.1)",9.1455004281937,Inf,4.0855951552595
"duration",6.5,"R0 25th pct (2.0)",1.99157647802648,116.116112692337,0.85662216195426
"duration",6.5,"R0 median (2.8)",2.80808526201542,Inf,1.2078210877863
"duration",6.5,"R0 75th pct (4.1)",4.12642819800479,Inf,1.77487025134311
"duration",6.5,"R0 90th pct (9.1)",9.1455004281937,Inf,3.93368692359538
"duration",7,"R0 25th pct (2.0)",1.99157647802648,100.607317408766,0.826644858405082
"duration",7,"R0 median (2.8)",2.80808526201542,Inf,1.16555365531751
"duration",7,"R0 75th pct (4.1)",4.12642819800479,Inf,1.71275905851156
"duration",7,"R0 90th pct (9.1)",9.1455004281937,Inf,3.79602841764798
"duration",7.5,"R0 25th pct (2.0)",1.99157647802648,90.0998931053583,0.799353589197282
"duration",7.5,"R0 median (2.8)",2.80808526201542,Inf,1.1270734805968
"duration",7.5,"R0 75th pct (4.1)",4.12642819800479,Inf,1.65621316933235
"duration",7.5,"R0 90th pct (9.1)",9.1455004281937,Inf,3.67070442583562
"duration",8,"R0 25th pct (2.0)",1.99157647802648,82.4980576678585,0.774402822405391
"duration",8,"R0 median (2.8)",2.80808526201542,Inf,1.09189337012787
"duration",8,"R0 75th pct (4.1)",4.12642819800479,Inf,1.6045166621744
"duration",8,"R0 90th pct (9.1)",9.1455004281937,Inf,3.5561282341118
"duration",8.5,"R0 25th pct (2.0)",1.99157647802648,76.7388489946077,0.751503854993932
"duration",8.5,"R0 median (2.8)",2.80808526201542,Inf,1.05960625807721
"duration",8.5,"R0 75th pct (4.1)",4.12642819800479,Inf,1.55707136149207
"duration",8.5,"R0 90th pct (9.1)",9.1455004281937,Inf,3.45097409186455
"duration",9,"R0 25th pct (2.0)",1.99157647802648,72.2236300503588,0.730413591065646
"duration",9,"R0 median (2.8)",2.80808526201542,Inf,1.02986938381581
"duration",9,"R0 75th pct (4.1)",4.12642819800479,Inf,1.51337358702182
"duration",9,"R0 90th pct (9.1)",9.1455004281937,Inf,3.35412568061097
"duration",9.5,"R0 25th pct (2.0)",1.99157647802648,68.5887114774366,0.710925878175845
"duration",9.5,"R0 median (2.8)",2.80808526201542,Inf,1.00239207628582
"duration",9.5,"R0 75th pct (4.1)",4.12642819800479,Inf,1.47299620314009
"duration",9.5,"R0 90th pct (9.1)",9.1455004281937,Inf,3.2646363295644
"duration",10,"R0 25th pct (2.0)",1.99157647802648,65.6000254276945,0.692864746299412
"duration",10,"R0 median (2.8)",2.80808526201542,Inf,0.976926221071568
"duration",10,"R0 75th pct (4.1)",4.12642819800479,Inf,1.43557461040435
"duration",10,"R0 90th pct (9.1)",9.1455004281937,Inf,3.18169796835557
"duration",11,"R0 25th pct (2.0)",1.99157647802648,60.9783124797213,0.660438376072881
"duration",11,"R0 median (2.8)",2.80808526201542,197.595458296258,0.931205650790477
"duration",11,"R0 75th pct (4.1)",4.12642819800479,Inf,1.36838909684863
"duration",11,"R0 90th pct (9.1)",9.1455004281937,Inf,3.03279312535131
"duration",12,"R0 25th pct (2.0)",1.99157647802648,57.573916613232,0.632153190492917
"duration",12,"R0 median (2.8)",2.80808526201542,142.241109891419,0.891324072735702
"duration",12,"R0 75th pct (4.1)",4.12642819800479,Inf,1.30978387196737
"duration",12,"R0 90th pct (9.1)",9.1455004281937,Inf,2.90290497910777
"duration",13,"R0 25th pct (2.0)",1.99157647802648,54.9649568477938,0.607263497373483
"duration",13,"R0 median (2.8)",2.80808526201542,116.079680527567,0.856230074992754
"duration",13,"R0 75th pct (4.1)",4.12642819800479,Inf,1.25821390583206
"duration",13,"R0 90th pct (9.1)",9.1455004281937,Inf,2.78860924324582
"duration",14,"R0 25th pct (2.0)",1.99157647802648,52.9041228649632,0.585192500099633
"duration",14,"R0 median (2.8)",2.80808526201542,100.686060238094,0.825110385216092
"duration",14,"R0 75th pct (4.1)",4.12642819800479,Inf,1.21248411010804
"duration",14,"R0 90th pct (9.1)",9.1455004281937,Inf,2.68725721521892
"duration",15,"R0 25th pct (2.0)",1.99157647802648,51.2367575192958,0.56548704262717
"duration",15,"R0 median (2.8)",2.80808526201542,90.505704116908,0.797326061932395
"duration",15,"R0 75th pct (4.1)",4.12642819800479,Inf,1.17165557238122
"duration",15,"R0 90th pct (9.1)",9.1455004281937,Inf,2.59676796123318
"duration",16,"R0 25th pct (2.0)",1.99157647802648,49.861200037191,0.547786165470911
"duration",16,"R0 median (2.8)",2.80808526201542,83.2602535854277,0.772368159077219
"duration",16,"R0 75th pct (4.1)",4.12642819800479,Inf,1.13498040603291
"duration",16,"R0 90th pct (9.1)",9.1455004281937,Inf,2.51548392248394
"duration",17,"R0 25th pct (2.0)",1.99157647802648,48.7078634235773,0.531798793354406
"duration",17,"R0 median (2.8)",2.80808526201542,77.8357254250846,0.749826266002042
"duration",17,"R0 75th pct (4.1)",4.12642819800479,Inf,1.10185552037503
"duration",17,"R0 90th pct (9.1)",9.1455004281937,Inf,2.44206845481279
"duration",18,"R0 25th pct (2.0)",1.99157647802648,47.7275512835232,0.517287603442859
"duration",18,"R0 median (2.8)",2.80808526201542,73.6207665046095,0.729365761986999
"duration",18,"R0 75th pct (4.1)",4.12642819800479,Inf,1.07178919658668
"duration",18,"R0 90th pct (9.1)",9.1455004281937,Inf,2.37543175016503
"duration",19,"R0 25th pct (2.0)",1.99157647802648,46.8845042904599,0.504057164924543
"duration",19,"R0 median (2.8)",2.80808526201542,70.2510824998525,0.710711093274453
"duration",19,"R0 75th pct (4.1)",4.12642819800479,Inf,1.04437651363109
"duration",19,"R0 90th pct (9.1)",9.1455004281937,Inf,2.31467637246829
"duration",20,"R0 25th pct (2.0)",1.99157647802648,46.1521125010055,0.49194508625125
"duration",20,"R0 median (2.8)",2.80808526201542,67.4957461726225,0.693633290845019
"duration",20,"R0 75th pct (4.1)",4.12642819800479,Inf,1.01928100586357
"duration",20,"R0 90th pct (9.1)",9.1455004281937,Inf,2.25905660495493
"duration",21,"R0 25th pct (2.0)",1.99157647802648,45.5101837316923,0.480815316297093
"duration",21,"R0 median (2.8)",2.80808526201542,65.2011092892446,0.677940525177863
"duration",21,"R0 75th pct (4.1)",4.12642819800479,Inf,0.99622078343031
"duration",21,"R0 90th pct (9.1)",9.1455004281937,Inf,2.2079476884737
"duration",22,"R0 25th pct (2.0)",1.99157647802648,44.9431274480931,0.470553011860667
"duration",22,"R0 median (2.8)",2.80808526201542,63.2608923216161,0.663470869525573
"duration",22,"R0 75th pct (4.1)",4.12642819800479,Inf,0.974957898037659
"duration",22,"R0 90th pct (9.1)",9.1455004281937,Inf,2.16082225259258
"duration",23,"R0 25th pct (2.0)",1.99157647802648,44.4387079476636,0.461060560249288
"duration",23,"R0 median (2.8)",2.80808526201542,61.5992130777227,0.650086691832974
"duration",23,"R0 75th pct (4.1)",4.12642819800479,Inf,0.955290101982845
"duration",23,"R0 90th pct (9.1)",9.1455004281937,Inf,2.11723205094363
"duration",24,"R0 25th pct (2.0)",1.99157647802648,43.9872022656264,0.452254464629746
"duration",24,"R0 median (2.8)",2.80808526201542,60.160400076588,0.637670263140444
"duration",24,"R0 75th pct (4.1)",4.12642819800479,Inf,0.937044394785693
"duration",24,"R0 90th pct (9.1)",9.1455004281937,Inf,2.07679365847023
"duration",25,"R0 25th pct (2.0)",1.99157647802648,43.5807882050582,0.444062881424201
"duration",25,"R0 median (2.8)",2.80808526201542,58.9026931386317,0.626120285358592
"duration",25,"R0 75th pct (4.1)",4.12642819800479,179.700626088748,0.920071920819159
"duration",25,"R0 90th pct (9.1)",9.1455004281937,Inf,2.03917716292488
"duration",26,"R0 25th pct (2.0)",1.99157647802648,43.2130983677875,0.436423655865535
"duration",26,"R0 median (2.8)",2.80808526201542,57.7941370812478,0.61534912143836
"duration",26,"R0 75th pct (4.1)",4.12642819800479,158.264389042631,0.904243899096672
"duration",26,"R0 90th pct (9.1)",9.1455004281937,Inf,2.00409714396067
"duration",27,"R0 25th pct (2.0)",1.99157647802648,42.8789046691948,0.429282741978729
"duration",27,"R0 median (2.8)",2.80808526201542,56.8098697458298,0.605280567574572
"duration",27,"R0 75th pct (4.1)",4.12642819800479,143.007615442847,0.889448349567366
"duration",27,"R0 90th pct (9.1)",9.1455004281937,Inf,1.97130541754191
"duration",28,"R0 25th pct (2.0)",1.99157647802648,42.573872050894,0.422592921993133
"duration",28,"R0 median (2.8)",2.80808526201542,55.9302473160104,0.5958480476014
"duration",28,"R0 75th pct (4.1)",4.12642819800479,131.561690788047,0.87558743981436
"duration",28,"R0 90th pct (9.1)",9.1455004281937,Inf,1.94058515536878
"duration",29,"R0 25th pct (2.0)",1.99157647802648,42.2943780580317,0.416312761009645
"duration",29,"R0 median (2.8)",2.80808526201542,55.1395498391561,0.586993139092793
"duration",29,"R0 75th pct (4.1)",4.12642819800479,122.640470902303,0.862575319187209
"duration",29,"R0 90th pct (9.1)",9.1455004281937,Inf,1.91174608461387
"duration",30,"R0 25th pct (2.0)",1.99157647802648,42.0373719827862,0.410405747999312
"duration",30,"R0 median (2.8)",2.80808526201542,54.425044251169,0.578664362186728
"duration",30,"R0 75th pct (4.1)",4.12642819800479,115.482379894944,0.850336339002038
"duration",30,"R0 90th pct (9.1)",9.1455004281937,Inf,1.88462054330959
"duration",31,"R0 25th pct (2.0)",1.99157647802648,41.8002671949957,0.404839585502014
"duration",31,"R0 median (2.8)",2.80808526201542,53.7763106983139,0.570816178073741
"duration",31,"R0 75th pct (4.1)",4.12642819800479,109.606422791714,0.838803580839375
"duration",31,"R0 90th pct (9.1)",9.1455004281937,Inf,1.85906021857987
"duration",32,"R0 25th pct (2.0)",1.99157647802648,41.5808568210769,0.399585598835969
"duration",32,"R0 median (2.8)",2.80808526201542,53.1847442348889,0.563408155993481
"duration",32,"R0 75th pct (4.1)",4.12642819800479,104.693212831213,0.827917632461338
"duration",32,"R0 90th pct (9.1)",9.1455004281937,Inf,1.83493343367646
"duration",33,"R0 25th pct (2.0)",1.99157647802648,41.3772470869185,0.394618241998489
"duration",33,"R0 median (2.8)",2.80808526201542,52.6431647210871,0.556404276564095
"duration",33,"R0 75th pct (4.1)",4.12642819800479,100.522044538753,0.817625564067338
"duration",33,"R0 90th pct (9.1)",9.1455004281937,Inf,1.81212287903023
"duration",34,"R0 25th pct (2.0)",1.99157647802648,41.1878041659476,0.389914682285843
"duration",34,"R0 median (2.8)",2.80808526201542,52.1455441298334,0.54977234610407
"duration",34,"R0 75th pct (4.1)",4.12642819800479,96.9353265495619,0.807880067651104
"duration",34,"R0 90th pct (9.1)",9.1455004281937,Inf,1.79052370478779
"duration",35,"R0 25th pct (2.0)",1.99157647802648,41.0111103032849,0.385454449379048
"duration",35,"R0 median (2.8)",2.80808526201542,51.6867820655796,0.543483501849825
"duration",35,"R0 75th pct (4.1)",4.12642819800479,93.8174122755865,0.798638729927279
"duration",35,"R0 90th pct (9.1)",9.1455004281937,Inf,1.77004190938149
"duration",36,"R0 25th pct (2.0)",1.99157647802648,40.8459238161642,0.381219137517471
"duration",36,"R0 median (2.8)",2.80808526201542,51.2625337301052,0.537511792026099
"duration",36,"R0 75th pct (4.1)",4.12642819800479,91.0814614903079,0.789863415252809
"duration",36,"R0 90th pct (9.1)",9.1455004281937,Inf,1.75059297188351
"duration",37,"R0 25th pct (2.0)",1.99157647802648,40.6911705470147,0.377192151620762
"duration",37,"R0 median (2.8)",2.80808526201542,50.8690822911802,0.531833817882672
"duration",37,"R0 75th pct (4.1)",4.12642819800479,88.6609516662973,0.781519739606664
"duration",37,"R0 90th pct (9.1)",9.1455004281937,Inf,1.73210068617466
"duration",38,"R0 25th pct (2.0)",1.99157647802648,40.5458956029712,0.373358489974707
"duration",38,"R0 median (2.8)",2.80808526201542,50.5032080060467,0.526428427285516
"duration",38,"R0 75th pct (4.1)",4.12642819800479,86.504037341757,0.773576620327826
"duration",38,"R0 90th pct (9.1)",9.1455004281937,Inf,1.71449616301807
"duration",39,"R0 25th pct (2.0)",1.99157647802648,40.4092576436493,0.369704557481339
"duration",39,"R0 median (2.8)",2.80808526201542,50.1621431862928,0.521276451402976
"duration",39,"R0 75th pct (4.1)",4.12642819800479,84.5697104644757,0.766005889180618
"duration",39,"R0 90th pct (9.1)",9.1455004281937,Inf,1.69771697248665
"duration",40,"R0 25th pct (2.0)",1.99157647802648,40.2805188057637,0.366218004573013
"duration",40,"R0 median (2.8)",2.80808526201542,49.8434585105509,0.516360477577653
"duration",40,"R0 75th pct (4.1)",4.12642819800479,82.8250744545875,0.758781958594228
"duration",40,"R0 90th pct (9.1)",9.1455004281937,Inf,1.68170640424194
"duration",60,"R0 25th pct (2.0)",1.99157647802648,38.6975693071782,0.319489495652065
"duration",60,"R0 median (2.8)",2.80808526201542,46.1285021195194,0.450474161553827
"duration",60,"R0 75th pct (4.1)",4.12642819800479,66.0587922518657,0.6619632629581
"duration",60,"R0 90th pct (9.1)",9.1455004281937,Inf,1.46712483880345
"duration",100,"R0 25th pct (2.0)",1.99157647802648,37.5451154379359,0.280126609618067
"duration",100,"R0 median (2.8)",2.80808526201542,43.647013195597,0.394973234844754
"duration",100,"R0 75th pct (4.1)",4.12642819800479,57.5554694995455,0.58040570055583
"duration",100,"R0 90th pct (9.1)",9.1455004281937,Inf,1.28636688396177
"duration",Inf,"R0 25th pct (2.0)",1.99157647802648,35.9883322761301,0.217480151400492
"duration",Inf,"R0 median (2.8)",2.80808526201542,40.5714593669393,0.306642910612084
"duration",Inf,"R0 75th pct (4.1)",4.12642819800479,49.0597161459328,0.450605959222123
"duration",Inf,"R0 90th pct (9.1)",9.1455004281937,Inf,0.998688646758753
"coverage",0.2,"R0 25th pct (2.0)",1.99157647802648,Inf,1.63675721270128
"coverage",0.2,"R0 median (2.8)",2.80808526201542,Inf,2.30779679173475
"coverage",0.2,"R0 75th pct (4.1)",4.12642819800479,Inf,3.39126375024826
"coverage",0.2,"R0 90th pct (9.1)",9.1455004281937,Inf,7.51613807190671
"coverage",0.22,"R0 25th pct (2.0)",1.99157647802648,Inf,1.60127528616876
"coverage",0.22,"R0 median (2.8)",2.80808526201542,Inf,2.25776794470669
"coverage",0.22,"R0 75th pct (4.1)",4.12642819800479,Inf,3.3177473054726
"coverage",0.22,"R0 90th pct (9.1)",9.1455004281937,Inf,7.35320183627801
"coverage",0.24,"R0 25th pct (2.0)",1.99157647802648,Inf,1.56579335963624
"coverage",0.24,"R0 median (2.8)",2.80808526201542,Inf,2.20773909767862
"coverage",0.24,"R0 75th pct (4.1)",4.12642819800479,Inf,3.24423086069695
"coverage",0.24,"R0 90th pct (9.1)",9.1455004281937,Inf,7.19026560064932
"coverage",0.26,"R0 25th pct (2.0)",1.99157647802648,Inf,1.53031143310372
"coverage",0.26,"R0 median (2.8)",2.80808526201542,Inf,2.15771025065055
"coverage",0.26,"R0 75th pct (4.1)",4.12642819800479,Inf,3.1707144159213
"coverage",0.26,"R0 90th pct (9.1)",9.1455004281937,Inf,7.02732936502062
"coverage",0.28,"R0 25th pct (2.0)",1.99157647802648,Inf,1.4948295065712
"coverage",0.28,"R0 median (2.8)",2.80808526201542,Inf,2.10768140362249
"coverage",0.28,"R0 75th pct (4.1)",4.12642819800479,Inf,3.09719797114564
"coverage",0.28,"R0 90th pct (9.1)",9.1455004281937,Inf,6.86439312939192
"coverage",0.3,"R0 25th pct (2.0)",1.99157647802648,Inf,1.45934758003868
"coverage",0.3,"R0 median (2.8)",2.80808526201542,Inf,2.05765255659442
"coverage",0.3,"R0 75th pct (4.1)",4.12642819800479,Inf,3.02368152636999
"coverage",0.3,"R0 90th pct (9.1)",9.1455004281937,Inf,6.70145689376322
"coverage",0.32,"R0 25th pct (2.0)",1.99157647802648,Inf,1.42386565350616
"coverage",0.32,"R0 median (2.8)",2.80808526201542,Inf,2.00762370956635
"coverage",0.32,"R0 75th pct (4.1)",4.12642819800479,Inf,2.95016508159434
"coverage",0.32,"R0 90th pct (9.1)",9.1455004281937,Inf,6.53852065813452
"coverage",0.34,"R0 25th pct (2.0)",1.99157647802648,Inf,1.38838372697364
"coverage",0.34,"R0 median (2.8)",2.80808526201542,Inf,1.95759486253829
"coverage",0.34,"R0 75th pct (4.1)",4.12642819800479,Inf,2.87664863681868
"coverage",0.34,"R0 90th pct (9.1)",9.1455004281937,Inf,6.37558442250582
"coverage",0.36,"R0 25th pct (2.0)",1.99157647802648,Inf,1.35290180044112
"coverage",0.36,"R0 median (2.8)",2.80808526201542,Inf,1.90756601551022
"coverage",0.36,"R0 75th pct (4.1)",4.12642819800479,Inf,2.80313219204303
"coverage",0.36,"R0 90th pct (9.1)",9.1455004281937,Inf,6.21264818687712
"coverage",0.38,"R0 25th pct (2.0)",1.99157647802648,Inf,1.3174198739086
"coverage",0.38,"R0 median (2.8)",2.80808526201542,Inf,1.85753716848215
"coverage",0.38,"R0 75th pct (4.1)",4.12642819800479,Inf,2.72961574726738
"coverage",0.38,"R0 90th pct (9.1)",9.1455004281937,Inf,6.04971195124842
"coverage",0.4,"R0 25th pct (2.0)",1.99157647802648,Inf,1.28193794737608
"coverage",0.4,"R0 median (2.8)",2.80808526201542,Inf,1.80750832145409
"coverage",0.4,"R0 75th pct (4.1)",4.12642819800479,Inf,2.65609930249172
"coverage",0.4,"R0 90th pct (9.1)",9.1455004281937,Inf,5.88677571561972
"coverage",0.42,"R0 25th pct (2.0)",1.99157647802648,Inf,1.24645602084356
"coverage",0.42,"R0 median (2.8)",2.80808526201542,Inf,1.75747947442602
"coverage",0.42,"R0 75th pct (4.1)",4.12642819800479,Inf,2.58258285771607
"coverage",0.42,"R0 90th pct (9.1)",9.1455004281937,Inf,5.72383947999102
"coverage",0.44,"R0 25th pct (2.0)",1.99157647802648,Inf,1.21097409431105
"coverage",0.44,"R0 median (2.8)",2.80808526201542,Inf,1.70745062739795
"coverage",0.44,"R0 75th pct (4.1)",4.12642819800479,Inf,2.50906641294042
"coverage",0.44,"R0 90th pct (9.1)",9.1455004281937,Inf,5.56090324436232
"coverage",0.46,"R0 25th pct (2.0)",1.99157647802648,Inf,1.17549216777853
"coverage",0.46,"R0 median (2.8)",2.80808526201542,Inf,1.65742178036989
"coverage",0.46,"R0 75th pct (4.1)",4.12642819800479,Inf,2.43554996816476
"coverage",0.46,"R0 90th pct (9.1)",9.1455004281937,Inf,5.39796700873363
"coverage",0.48,"R0 25th pct (2.0)",1.99157647802648,Inf,1.14001024124601
"coverage",0.48,"R0 median (2.8)",2.80808526201542,Inf,1.60739293334182
"coverage",0.48,"R0 75th pct (4.1)",4.12642819800479,Inf,2.36203352338911
"coverage",0.48,"R0 90th pct (9.1)",9.1455004281937,Inf,5.23503077310493
"coverage",0.5,"R0 25th pct (2.0)",1.99157647802648,Inf,1.10452831471349
"coverage",0.5,"R0 median (2.8)",2.80808526201542,Inf,1.55736408631375
"coverage",0.5,"R0 75th pct (4.1)",4.12642819800479,Inf,2.28851707861346
"coverage",0.5,"R0 90th pct (9.1)",9.1455004281937,Inf,5.07209453747623
"coverage",0.52,"R0 25th pct (2.0)",1.99157647802648,Inf,1.06904638818097
"coverage",0.52,"R0 median (2.8)",2.80808526201542,Inf,1.50733523928569
"coverage",0.52,"R0 75th pct (4.1)",4.12642819800479,Inf,2.2150006338378
"coverage",0.52,"R0 90th pct (9.1)",9.1455004281937,Inf,4.90915830184753
"coverage",0.54,"R0 25th pct (2.0)",1.99157647802648,Inf,1.03356446164845
"coverage",0.54,"R0 median (2.8)",2.80808526201542,Inf,1.45730639225762
"coverage",0.54,"R0 75th pct (4.1)",4.12642819800479,Inf,2.14148418906215
"coverage",0.54,"R0 90th pct (9.1)",9.1455004281937,Inf,4.74622206621883
"coverage",0.56,"R0 25th pct (2.0)",1.99157647802648,Inf,0.998082535115926
"coverage",0.56,"R0 median (2.8)",2.80808526201542,Inf,1.40727754522955
"coverage",0.56,"R0 75th pct (4.1)",4.12642819800479,Inf,2.0679677442865
"coverage",0.56,"R0 90th pct (9.1)",9.1455004281937,Inf,4.58328583059013
"coverage",0.58,"R0 25th pct (2.0)",1.99157647802648,Inf,0.962600608583407
"coverage",0.58,"R0 median (2.8)",2.80808526201542,Inf,1.35724869820148
"coverage",0.58,"R0 75th pct (4.1)",4.12642819800479,Inf,1.99445129951084
"coverage",0.58,"R0 90th pct (9.1)",9.1455004281937,Inf,4.42034959496143
"coverage",0.6,"R0 25th pct (2.0)",1.99157647802648,Inf,0.927118682050887
"coverage",0.6,"R0 median (2.8)",2.80808526201542,Inf,1.30721985117342
"coverage",0.6,"R0 75th pct (4.1)",4.12642819800479,Inf,1.92093485473519
"coverage",0.6,"R0 90th pct (9.1)",9.1455004281937,Inf,4.25741335933273
"coverage",0.62,"R0 25th pct (2.0)",1.99157647802648,151.763092302966,0.891636755518367
"coverage",0.62,"R0 median (2.8)",2.80808526201542,Inf,1.25719100414535
"coverage",0.62,"R0 75th pct (4.1)",4.12642819800479,Inf,1.84741840995954
"coverage",0.62,"R0 90th pct (9.1)",9.1455004281937,Inf,4.09447712370403
"coverage",0.64,"R0 25th pct (2.0)",1.99157647802648,122.463186585101,0.856154828985847
"coverage",0.64,"R0 median (2.8)",2.80808526201542,Inf,1.20716215711729
"coverage",0.64,"R0 75th pct (4.1)",4.12642819800479,Inf,1.77390196518388
"coverage",0.64,"R0 90th pct (9.1)",9.1455004281937,Inf,3.93154088807533
"coverage",0.66,"R0 25th pct (2.0)",1.99157647802648,103.534970198233,0.820672902453328
"coverage",0.66,"R0 median (2.8)",2.80808526201542,Inf,1.15713331008922
"coverage",0.66,"R0 75th pct (4.1)",4.12642819800479,Inf,1.70038552040823
"coverage",0.66,"R0 90th pct (9.1)",9.1455004281937,Inf,3.76860465244664
"coverage",0.68,"R0 25th pct (2.0)",1.99157647802648,90.2207716212948,0.785190975920808
"coverage",0.68,"R0 median (2.8)",2.80808526201542,Inf,1.10710446306115
"coverage",0.68,"R0 75th pct (4.1)",4.12642819800479,Inf,1.62686907563258
"coverage",0.68,"R0 90th pct (9.1)",9.1455004281937,Inf,3.60566841681794
"coverage",0.7,"R0 25th pct (2.0)",1.99157647802648,80.3112628717406,0.749709049388288
"coverage",0.7,"R0 median (2.8)",2.80808526201542,Inf,1.05707561603308
"coverage",0.7,"R0 75th pct (4.1)",4.12642819800479,Inf,1.55335263085692
"coverage",0.7,"R0 90th pct (9.1)",9.1455004281937,Inf,3.44273218118924
"coverage",0.72,"R0 25th pct (2.0)",1.99157647802648,72.6333236269464,0.714227122855769
"coverage",0.72,"R0 median (2.8)",2.80808526201542,Inf,1.00704676900502
"coverage",0.72,"R0 75th pct (4.1)",4.12642819800479,Inf,1.47983618608127
"coverage",0.72,"R0 90th pct (9.1)",9.1455004281937,Inf,3.27979594556054
"coverage",0.74,"R0 25th pct (2.0)",1.99157647802648,66.5034507425751,0.678745196323249
"coverage",0.74,"R0 median (2.8)",2.80808526201542,Inf,0.957017921976951
"coverage",0.74,"R0 75th pct (4.1)",4.12642819800479,Inf,1.40631974130562
"coverage",0.74,"R0 90th pct (9.1)",9.1455004281937,Inf,3.11685970993184
"coverage",0.76,"R0 25th pct (2.0)",1.99157647802648,61.4952279192261,0.643263269790729
"coverage",0.76,"R0 median (2.8)",2.80808526201542,169.923464860927,0.906989074948885
"coverage",0.76,"R0 75th pct (4.1)",4.12642819800479,Inf,1.33280329652996
"coverage",0.76,"R0 90th pct (9.1)",9.1455004281937,Inf,2.95392347430314
"coverage",0.78,"R0 25th pct (2.0)",1.99157647802648,57.3282152103579,0.607781343258209
"coverage",0.78,"R0 median (2.8)",2.80808526201542,123.739169661265,0.856960227920818
"coverage",0.78,"R0 75th pct (4.1)",4.12642819800479,Inf,1.25928685175431
"coverage",0.78,"R0 90th pct (9.1)",9.1455004281937,Inf,2.79098723867444
"coverage",0.8,"R0 25th pct (2.0)",1.99157647802648,53.8100285766568,0.572299416725689
"coverage",0.8,"R0 median (2.8)",2.80808526201542,99.0933605047657,0.806931380892751
"coverage",0.8,"R0 75th pct (4.1)",4.12642819800479,Inf,1.18577040697866
"coverage",0.8,"R0 90th pct (9.1)",9.1455004281937,Inf,2.62805100304574
"coverage",0.82,"R0 25th pct (2.0)",1.99157647802648,50.8040161656414,0.536817490193169
"coverage",0.82,"R0 median (2.8)",2.80808526201542,83.5923718604698,0.756902533864684
