"strategy","revacc","redose_V","shape","k","D","median_T","q25","q75","share_eliminated_50y","share_eliminated_200y"
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,10,30.4958904109589,22.0301369863014,40.2356164383562,0.846666666666667,1
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,10,23.2219178082192,18.9068493150685,28.9753424657534,0.996666666666667,1
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,10,23.4684931506849,19.2150684931507,28.7698630136986,0.996666666666667,1
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,10,23.1808219178082,19.1534246575342,28.9547945205479,0.983333333333333,1
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,10,22.358904109589,17.9821917808219,27.3109589041096,0.993333333333333,1
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,10,22.3178082191781,18.4958904109589,26.7972602739726,1,1
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,Inf,22.2767123287671,18.7219178082192,27.5780821917808,1,1
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,Inf,22.2767123287671,18.4342465753425,26.2630136986301,1,1
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,Inf,21.7835616438356,17.2424657534247,27.5986301369863,0.996666666666667,1
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,Inf,21.7835616438356,17.9821917808219,26.9821917808219,0.993333333333333,1
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,Inf,21.8657534246575,18.0438356164384,26.8178082191781,0.996666666666667,1
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,Inf,22.0712328767123,17.9821917808219,27.2287671232877,1,1
