"N","R0","yr","prev_sq","prev_vx","p_free_vx","remaining"
10,1.5,0.00273972602739726,0.300262752525253,0.299808080808081,0,0.998485753849427
10,1.5,0.167123287671233,0.303496484071484,0.30193011016761,0,0.994838905931098
10,1.5,0.331506849315069,0.303779014041514,0.30481017038517,0.001,1.00339442916065
10,1.5,0.495890410958904,0.304021131646132,0.304789596514597,0.003,1.00252766925873
10,1.5,0.66027397260274,0.306671047702298,0.305516024171907,0.0035,0.996233672728335
10,1.5,0.824657534246575,0.306235838997604,0.303237291915601,0.006,0.990208373089779
10,1.5,0.989041095890411,0.308500196943579,0.301920642592701,0.009,0.978672446837753
10,1.5,1.15342465753425,0.307097890100096,0.29956674273439,0.0115,0.975476394959107
10,1.5,1.31780821917808,0.305909837670499,0.29643539283429,0.016,0.969028636318605
10,1.5,1.48219178082192,0.306734707855354,0.293144793175521,0.0205,0.955694890953645
10,1.5,1.64657534246575,0.306827378916233,0.288011111456913,0.026,0.938674744327631
10,1.5,1.81095890410959,0.305926285281626,0.282729234183859,0.031,0.924174377247733
10,1.5,1.97534246575342,0.304207801757066,0.277964839131886,0.0385,0.91373343328605
10,1.5,2.13972602739726,0.303036943244664,0.274523080555066,0.0465,0.905906314971714
10,1.5,2.3041095890411,0.301902432543377,0.272314047921033,0.051,0.901993553436863
10,1.5,2.46849315068493,0.30250759779651,0.267071109282874,0.0595,0.882857525656352
10,1.5,2.63287671232877,0.301272591632654,0.261610051680775,0.0705,0.868349989167819
10,1.5,2.7972602739726,0.301701314277398,0.258385076879175,0.0785,0.856426752724067
10,1.5,2.96164383561644,0.299855429396025,0.255215823916366,0.0865,0.851129574109851
10,1.5,3.12602739726027,0.296337074157353,0.250936698732984,0.0955,0.846794817849008
10,1.5,3.29041095890411,0.293730220209787,0.244225087114038,0.1075,0.831460538652131
10,1.5,3.45479452054795,0.292448944882517,0.238557982757267,0.118,0.815725229759679
10,1.5,3.61917808219178,0.291298094159453,0.233397309383513,0.1295,0.801231844846038
10,1.5,3.78356164383562,0.289095896254159,0.230616281407361,0.137,0.797715513763692
