"e_s","e_i","D","p","T_elim","R_v","log10_prev50"
0.281959934721484,0.47317803395295,5.96305750726331,0.814690291084683,200,1.92676329595083,-0.379181017124199
0.558442430375648,0.729341811217798,2.84822380684245,0.667735869884002,200,2.08561220656433,-0.368902999920652
0.596485167039651,0.924257531814681,8.04405311796666,0.307244588075423,200,2.233258940736,-0.310157219309599
0.206564038488013,0.469676542896234,34.220959905045,0.798100174529237,200,1.6354060469574,-0.44071622211458
0.443320451075079,0.260879812301354,4.06394519947573,0.512146713878525,200,2.3627673811134,-0.274890686999716
0.51330590740263,0.596699063783251,5.05193874899069,0.45507805320456,200,2.21253224885587,-0.314723111448813
0.582406289867366,0.797557138951014,3.51961065301774,0.380134302136325,200,2.32906392006304,-0.294031649534506
0.788080927323123,0.787454383959039,2.56959551941806,0.944427897500837,200,1.76351427757236,-0.532495529430653
0.659129717709108,0.526348411585107,30.0233091113343,0.437477262072048,200,1.88989848614426,-0.408714682325177
0.388608181794523,0.684733337674251,9.57841231845822,0.984799074227634,200,1.19295094450889,-0.926630806915182
0.809048022735616,0.804064075166453,7.78102445179456,0.450225457863611,200,1.98045723428238,-0.41815283196222
0.330374002176438,0.194461716349904,3.42965604768277,0.380379148530665,200,2.57010495246197,-0.230747237535803
0.45693328400664,0.812836166464293,7.92441154217518,0.957054301842651,200,1.15660669164743,-1.02476025016103
0.703568672598596,0.181219148296975,4.59089200442516,0.317683750149041,200,2.43221355698419,-0.270664743109462
0.543016067933865,0.229881522947224,12.0364630715534,0.517358107701371,200,2.08613477327603,-0.334472684238623
0.541288256677558,0.673707062171896,20.5644728189272,0.405202928053223,200,1.98674404036243,-0.36301615581259
0.428002346589509,0.200328634625367,15.6565812232613,0.906350488657582,200,1.68881467303797,-0.444622727570148
0.28973536256038,0.597653349175859,24.4626069355502,0.778122759139872,200,1.45059911646992,-0.570949924864215
0.240513920717943,0.298076068400716,20.1429472338967,0.958812486353648,200,1.74430753809072,-0.400732560334687
0.670727190384556,0.89993187391907,2.60615399784866,0.717290104556254,200,1.99801393516731,-0.412604173898794
0.877429998287256,0.890951963609717,4.36455199282915,0.513130450967606,200,2.03488917834925,-0.413645390356868
0.77983184440032,0.0385467115237184,16.9650540915309,0.457185186657527,200,1.9756407926304,-0.401294074976414
0.237526082391307,0.190086263366688,7.83023606237759,0.848524303167849,200,2.1870842163398,-0.292466824976391
0.812767772980104,0.900899902596596,9.54121557773156,0.972515439079034,117.75722807591,0.871001258504573,-1.87729382188458
0.421339889978742,0.141187236725042,29.9431082069302,0.885878886867982,200,1.69302480773024,-0.42395704299172
0.409849600622679,0.0068431711236597,32.294983087991,0.707609030135993,200,2.06940354112866,-0.308270015662484
0.48863084779776,0.250215424874871,2.17552813122193,0.822113790959228,200,2.27746189786532,-0.308287475067569
0.577845655216944,0.76914337387492,11.2613630804519,0.315776592862459,200,2.20409775527033,-0.311879641387643
0.431382918557191,0.848400592504069,5.99473513990366,0.573494330053388,200,1.89439326576756,-0.409133659896529
0.697742795118356,0.721700571944956,13.808316147136,0.414719348665645,200,1.9649775782928,-0.398028174871605
0.282527476445135,0.796753585160869,6.71727837563746,0.966939628724699,200,1.30684930005681,-0.783178170153907
0.263786396536262,0.635482087072575,9.31019130597758,0.634743407199555,200,1.87202915534947,-0.386469536317392
0.47544877158762,0.147611406648112,18.379024551013,0.708332546704394,200,1.89102309135684,-0.373738381957457
0.812117727294999,0.455714824838603,13.3299903923433,0.459147420955977,200,1.89997635824335,-0.443920150343989
0.80372943360686,0.642726726587831,17.6762951746104,0.591868709232868,200,1.5277462499722,-0.64719881138332
0.315773049526188,0.887324729587281,8.31417456206691,0.4853935776748,200,1.93467360026574,-0.375222398564103
0.245367200707675,0.145858585319001,3.68173653163376,0.613798521255694,200,2.50088119072961,-0.240744281021456
0.434028959090426,0.0144839000550487,10.5130231222479,0.770327912102865,200,2.0985360794061,-0.316676723957134
0.834202231804204,0.211225656539924,2.11219370272795,0.451942127016699,200,2.40445412754089,-0.29114493468787
0.41355897842038,0.281068301956662,2.07383932141042,0.676885917366319,200,2.41048868886521,-0.27217757625447
0.457709311009788,0.845457557794009,3.78016385508016,0.663438309108109,200,1.94092224028768,-0.4072653183015
0.763885639444009,0.484693978705086,3.58616426541584,0.715529197424534,200,1.93473005944634,-0.439849010681209
0.471989955705722,0.57763383596276,5.8251796998596,0.750308545627127,200,1.80275767742543,-0.447682964224707
0.409297657312453,0.908883993004794,5.69791775625472,0.742242476292164,200,1.60735448146229,-0.550422106850092
0.219516482540678,0.904704875543834,17.0326562682741,0.785481657300028,200,1.12758769341983,-0.983759958161902
0.209781728766463,0.807923847530037,10.7021754060964,0.579638541707334,200,1.77932599087617,-0.415643123721227
0.811433719488396,0.564644747514802,2.14316743908984,0.713248147726882,200,2.12918160662759,-0.377499072005146
0.393718553291106,0.0429552472448287,6.57899566940476,0.628043866397937,200,2.33243601404711,-0.27050659194679
0.895525405417375,0.0241243329180366,4.02497259118655,0.500312911632882,200,2.14732080595467,-0.373750793703037
0.258890850176018,0.450136299589482,10.4844146766943,0.63153431509429,200,2.02926913988392,-0.331358075282453
0.635676815505372,0.814637219039859,25.0073242669119,0.386866699079649,200,1.92443763268185,-0.397238308556116
0.345738386099731,0.196246994178998,14.5635802451999,0.336123224117972,200,2.45045420952488,-0.241794011944973
0.763031734697234,0.713424536925073,34.0386698216086,0.367363856321077,200,1.93991186880425,-0.411709323644414
0.562031989150813,0.624626532917664,4.35640166861991,0.715212989316469,200,1.89614090060115,-0.428076966489111
0.210081530338658,0.310699645342655,5.08722060786903,0.30360910704562,200,2.58223998430054,-0.223947172609856
0.346619861837632,0.31739203934328,28.3964054571604,0.469476930999864,200,2.16112879477436,-0.291971608770657
0.54528834446026,0.0261471456550489,5.31012624241099,0.800917443043141,200,2.06630172649596,-0.350951657906687
0.57738891003038,0.600992596410824,6.39680945435876,0.564758408285367,200,1.9694859161341,-0.391685240101973
0.769756911888478,0.601855417203616,2.5605710358304,0.631144263494465,200,2.14547373560607,-0.366202521986038
0.542593087961509,0.306771283973781,4.11112271767749,0.794688498845627,200,2.00191876543556,-0.383106267177264
0.675932456977409,0.191765359177169,6.77307885619497,0.402023875113546,200,2.26718188194845,-0.306639369058754
0.386127252458533,0.542412697512381,2.53604160356989,0.546858854569697,200,2.35613944331834,-0.282546287104645
0.568357173689416,0.099148886380756,3.19586061531727,0.428044555343649,200,2.46567366180123,-0.259262339364769
0.453237196147776,0.907059955651332,8.07991831142373,0.783016194045,200,1.37174516140899,-0.72789029520085
0.339378488044511,0.875024416100455,15.7962956519937,0.411487713850204,200,1.94742936197122,-0.359458193675213
0.201191377216803,0.355164184891328,2.21315060425972,0.65243434016821,200,2.47334588102511,-0.252065196219418
0.764905068100415,0.401016898808015,36.1075788111218,0.363236568108868,200,2.01238485782493,-0.383190997925243
0.22342642444633,0.441654736660266,23.7278131974976,0.862098834302121,200,1.62016570765163,-0.455243397113701
0.476072587858466,0.862197317335184,11.9403027672423,0.405756451294439,200,1.99898743932362,-0.361206306629721
0.46035894276915,0.509831677854119,5.83158098823854,0.58418890958461,200,2.0668340178734,-0.349002305453249
0.773635890895477,0.249285451092315,29.9202554974764,0.840698177102231,200,1.06210913291881,-1.22836990737765
0.449266076612636,0.413466892613991,7.68171730017205,0.81216666670399,200,1.7624219014131,-0.448667554117448
0.676626405892568,0.221252435022849,17.6112282390767,0.464452152941384,200,2.00021446563005,-0.374111731340348
0.666097197259373,0.0582064821108322,6.48722650758917,0.720723349765797,200,1.92113318773608,-0.412889318369653
0.652225448341792,0.238635444334382,10.9853851389195,0.302326209140484,200,2.33991569235863,-0.282306561082538
0.797957121753312,0.843572660813481,23.6318860116069,0.426956161943777,200,1.80276586635927,-0.481566149480137
0.677140482393163,0.577434547545074,28.4065487648418,0.769098491601801,200,1.15593112881675,-1.01204072754367
0.697529790768299,0.317257309435723,7.83366873475966,0.391176925075015,200,2.21404545175898,-0.322310967237795
0.442608500688934,0.595083867890625,5.60382306666721,0.94945352228495,200,1.55935406827357,-0.577708078489513
0.698642912134016,0.242236906415849,4.7381309361415,0.788495291997958,200,1.84419468026469,-0.460639117347646
0.563987169579649,0.808838259406966,14.1257962389458,0.751681044154979,200,1.27142806085081,-0.83704881395023
