"strategy","revacc","redose_V","shape","k","D","f_bar","label","R0","Rv_bar"
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,4,0.889377241589739,"R0 90th pct (9.1)",9.1455004281937,1.8999114382703
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,4,0.889377241589739,"R0 median (2.8)",2.80808526201542,0.583359363528569
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,5,0.9101029227881,"R0 25th pct (2.0)",1.99157647802648,0.376966225856537
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,5,0.9101029227881,"R0 75th pct (4.1)",4.12642819800479,0.781051634839189
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,5,0.9101029227881,"R0 90th pct (9.1)",9.1455004281937,1.73106321450523
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,5,0.9101029227881,"R0 median (2.8)",2.80808526201542,0.531515266817307
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,7,0.93461563819962,"R0 25th pct (2.0)",1.99157647802648,0.333478307489331
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,7,0.93461563819962,"R0 75th pct (4.1)",4.12642819800479,0.690947250396572
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,7,0.93461563819962,"R0 90th pct (9.1)",9.1455004281937,1.53136273579569
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,7,0.93461563819962,"R0 median (2.8)",2.80808526201542,0.470198122339033
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,10,0.953600301112126,"R0 25th pct (2.0)",1.99157647802648,0.299797686754022
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,10,0.953600301112126,"R0 75th pct (4.1)",4.12642819800479,0.621163004266991
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,10,0.953600301112126,"R0 90th pct (9.1)",9.1455004281937,1.37669826031352
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,10,0.953600301112126,"R0 median (2.8)",2.80808526201542,0.422709082502575
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,15,0.968733675416824,"R0 25th pct (2.0)",1.99157647802648,0.272949622990601
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,15,0.968733675416824,"R0 75th pct (4.1)",4.12642819800479,0.56553541044996
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,15,0.968733675416824,"R0 90th pct (9.1)",9.1455004281937,1.25340950823514
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,15,0.968733675416824,"R0 median (2.8)",2.80808526201542,0.384853819097164
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,20,0.976423757630013,"R0 25th pct (2.0)",1.99157647802648,0.25930667638473
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,20,0.976423757630013,"R0 75th pct (4.1)",4.12642819800479,0.537268035232653
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,20,0.976423757630013,"R0 90th pct (9.1)",9.1455004281937,1.19075985586053
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,20,0.976423757630013,"R0 median (2.8)",2.80808526201542,0.36561752176332
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,Inf,1,"R0 25th pct (2.0)",1.99157647802648,0.217480151400492
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,Inf,1,"R0 75th pct (4.1)",4.12642819800479,0.450605959222123
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,Inf,1,"R0 90th pct (9.1)",9.1455004281937,0.998688646758753
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,Inf,1,"R0 median (2.8)",2.80808526201542,0.306642910612084
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.25,0.27528492424971,"R0 25th pct (2.0)",1.99157647802648,1.50319450513956
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.25,0.27528492424971,"R0 75th pct (4.1)",4.12642819800479,3.1145297514461
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.25,0.27528492424971,"R0 90th pct (9.1)",9.1455004281937,6.90280596406474
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.25,0.27528492424971,"R0 median (2.8)",2.80808526201542,2.11947589379434
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.5,0.538854720372306,"R0 25th pct (2.0)",1.99157647802648,1.0355962980289
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.5,0.538854720372306,"R0 75th pct (4.1)",4.12642819800479,2.14569403338725
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.5,0.538854720372306,"R0 90th pct (9.1)",9.1455004281937,4.75555244378276
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.5,0.538854720372306,"R0 median (2.8)",2.80808526201542,1.46017124322253
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.75,0.765437289511023,"R0 25th pct (2.0)",1.99157647802648,0.633616994442421
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.75,0.765437289511023,"R0 75th pct (4.1)",4.12642819800479,1.31281678682665
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.75,0.765437289511023,"R0 90th pct (9.1)",9.1455004281937,2.90962690005567
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.75,0.765437289511023,"R0 median (2.8)",2.80808526201542,0.893388008689171
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1,0.916785084766002,"R0 25th pct (2.0)",1.99157647802648,0.365111426837621
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1,0.916785084766002,"R0 75th pct (4.1)",4.12642819800479,0.756489195237669
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1,0.916785084766002,"R0 90th pct (9.1)",9.1455004281937,1.6766248985782
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1,0.916785084766002,"R0 median (2.8)",2.80808526201542,0.514800223846846
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1.25,0.977674137081632,"R0 25th pct (2.0)",1.99157647802648,0.257088382792723
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1.25,0.977674137081632,"R0 75th pct (4.1)",4.12642819800479,0.532671862637473
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1.25,0.977674137081632,"R0 90th pct (9.1)",9.1455004281937,1.18057324981281
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1.25,0.977674137081632,"R0 median (2.8)",2.80808526201542,0.362489769647715
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1.5,0.994704111057061,"R0 25th pct (2.0)",1.99157647802648,0.226875568520378
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1.5,0.994704111057061,"R0 75th pct (4.1)",4.12642819800479,0.4700727055727
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1.5,0.994704111057061,"R0 90th pct (9.1)",9.1455004281937,1.04183325719226
