"R0","N","yr_half_of_fall","yr_half_free","reached_half_free","plateau"
1.5,10,10.5232876712329,10.358904109589,TRUE,0.0716261660591472
1.5,20,11.0164383561644,18.9068493150685,TRUE,0.0794505146497785
1.5,50,10.5232876712329,33.372602739726,TRUE,0.0886886737464976
1.5,100,9.37260273972603,NA,FALSE,0.126521241974506
1.5,200,9.04383561643836,NA,FALSE,0.156862227776268
2,10,10.8520547945205,16.2767123287671,TRUE,0.0972534621822644
2,20,9.86575342465753,27.2904109589041,TRUE,0.127270732884919
2,50,7.56438356164384,NA,FALSE,0.259991309781084
2,100,6.24931506849315,NA,FALSE,0.351859066324459
2,200,5.75616438356164,NA,FALSE,0.392569386458912
3,10,11.5095890410959,24.0027397260274,TRUE,0.149668716313484
3,20,7.4,NA,FALSE,0.319637059929388
3,50,3.94794520547945,NA,FALSE,0.533258648429089
3,100,3.61917808219178,NA,FALSE,0.564409564433356
3,200,3.45479452054795,NA,FALSE,0.57598024405143
5,10,10.1945205479452,41.7561643835616,TRUE,0.305367558531472
5,20,3.61917808219178,NA,FALSE,0.575721406107716
5,50,2.63287671232877,NA,FALSE,0.662721337239726
5,100,2.46849315068493,NA,FALSE,0.670764490780505
5,200,2.46849315068493,NA,FALSE,0.67431508838461
