"regime","D","k","revacc","redose_V","tau_days","m","herd","R0","T_elim","share_calves_infected_before_onset_first5y"
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,15,3,"R0 median (2.8)",2.80808526201542,45.2333255356878,0.0433519996353332
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,15,3,"R0 75th pct (4.1)",4.12642819800479,61.2679782508165,0.070947472871543
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,15,3,"R0 median (2.8)",2.80808526201542,44.9060992975838,0.0405181553051748
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,15,3,"R0 75th pct (4.1)",4.12642819800479,62.4825906275989,0.0684394994648091
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,30,3,"R0 median (2.8)",2.80808526201542,51.3455404833973,0.0844671636623688
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,30,3,"R0 75th pct (4.1)",4.12642819800479,82.9750016323573,0.135851953862629
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,30,3,"R0 median (2.8)",2.80808526201542,51.171346643359,0.0790692117516549
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,30,3,"R0 75th pct (4.1)",4.12642819800479,85.9046879756786,0.131347846584093
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,45,3,"R0 median (2.8)",2.80808526201542,59.619971602283,0.123090275164127
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,45,3,"R0 75th pct (4.1)",4.12642819800479,132.875567240656,0.194231413131927
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,45,3,"R0 median (2.8)",2.80808526201542,59.7064131728088,0.115441243883136
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,45,3,"R0 75th pct (4.1)",4.12642819800479,142.613595163546,0.188230258758409
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,60,3,"R0 median (2.8)",2.80808526201542,71.3692198649336,0.159113649265203
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,60,3,"R0 75th pct (4.1)",4.12642819800479,Inf,0.246202038609632
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,60,3,"R0 median (2.8)",2.80808526201542,71.9479691656949,0.149534471530139
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,60,3,"R0 75th pct (4.1)",4.12642819800479,Inf,0.239129684182105
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,90,3,"R0 median (2.8)",2.80808526201542,120.691501604438,0.22346121105891
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,90,3,"R0 75th pct (4.1)",4.12642819800479,Inf,0.332923059924376
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,90,3,"R0 median (2.8)",2.80808526201542,124.855633465512,0.210909417607317
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,90,3,"R0 75th pct (4.1)",4.12642819800479,Inf,0.324633292555414
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,120,3,"R0 median (2.8)",2.80808526201542,Inf,0.278327347469836
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,120,3,"R0 75th pct (4.1)",4.12642819800479,Inf,0.400885941142337
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,120,3,"R0 median (2.8)",2.80808526201542,Inf,0.263773844489766
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,120,3,"R0 75th pct (4.1)",4.12642819800479,Inf,0.392134451597143
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,180,3,"R0 median (2.8)",2.80808526201542,Inf,0.364847124467757
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,180,3,"R0 75th pct (4.1)",4.12642819800479,Inf,0.498024914424563
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,180,3,"R0 median (2.8)",2.80808526201542,Inf,0.3481955057878
"18-month protection, annual boost of all uninfected animals",1.5,20,TRUE,TRUE,180,3,"R0 75th pct (4.1)",4.12642819800479,Inf,0.489313286648449
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,0,10,"R0 median (2.8)",2.80808526201542,40.5714593654341,0
"Lifelong protection, calves at birth (paper)",Inf,1,FALSE,FALSE,0,10,"R0 75th pct (4.1)",4.12642819800479,49.0597161459328,0
