"strategy","revacc","redose_V","shape","k","D","herd","R0","T_elim"
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.75,"R0 median (2.8)",2.80808526201542,120.425659856856
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.75,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,0.75,"R0 90th pct (9.1)",9.1455004281937,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1,"R0 25th pct (2.0)",1.99157647802648,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1,"R0 median (2.8)",2.80808526201542,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1,"R0 75th pct (4.1)",4.12642819800479,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1,"R0 25th pct (2.0)",1.99157647802648,106.521627804468
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1,"R0 25th pct (2.0)",1.99157647802648,106.521627804468
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1,"R0 90th pct (9.1)",9.1455004281937,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1,"R0 25th pct (2.0)",1.99157647802648,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1,"R0 median (2.8)",2.80808526201542,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1,"R0 75th pct (4.1)",4.12642819800479,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1,"R0 25th pct (2.0)",1.99157647802648,70.4221692114143
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1,"R0 25th pct (2.0)",1.99157647802648,38.9193966403997
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1,"R0 median (2.8)",2.80808526201542,48.6657979064421
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1,"R0 75th pct (4.1)",4.12642819800479,78.0352011724648
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1,"R0 90th pct (9.1)",9.1455004281937,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1.25,"R0 25th pct (2.0)",1.99157647802648,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1.25,"R0 median (2.8)",2.80808526201542,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1.25,"R0 75th pct (4.1)",4.12642819800479,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1.25,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.25,"R0 25th pct (2.0)",1.99157647802648,76.1457819944836
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.25,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.25,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.25,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1.25,"R0 25th pct (2.0)",1.99157647802648,76.1457819944836
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1.25,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1.25,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1.25,"R0 90th pct (9.1)",9.1455004281937,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1.25,"R0 25th pct (2.0)",1.99157647802648,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1.25,"R0 median (2.8)",2.80808526201542,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1.25,"R0 75th pct (4.1)",4.12642819800479,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1.25,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1.25,"R0 25th pct (2.0)",1.99157647802648,63.3745957758568
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1.25,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1.25,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1.25,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1.25,"R0 25th pct (2.0)",1.99157647802648,35.6005033918375
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1.25,"R0 median (2.8)",2.80808526201542,41.5472482565513
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1.25,"R0 75th pct (4.1)",4.12642819800479,53.2001683899198
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,1.25,"R0 90th pct (9.1)",9.1455004281937,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1.5,"R0 25th pct (2.0)",1.99157647802648,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1.5,"R0 median (2.8)",2.80808526201542,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1.5,"R0 75th pct (4.1)",4.12642819800479,Inf
"Calves at birth only",FALSE,FALSE,"Gradual waning (exponential)",1,1.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.5,"R0 25th pct (2.0)",1.99157647802648,63.626180390763
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.5,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.5,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1.5,"R0 25th pct (2.0)",1.99157647802648,63.626180390763
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1.5,"R0 median (2.8)",2.80808526201542,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1.5,"R0 75th pct (4.1)",4.12642819800479,Inf
"Annual campaign: all uninfected animals",TRUE,TRUE,"Gradual waning (exponential)",1,1.5,"R0 90th pct (9.1)",9.1455004281937,Inf
"Calves at birth only",FALSE,FALSE,"Near-fixed duration (Erlang k = 20)",20,1.5,"R0 25th pct (2.0)",1.99157647802648,Inf
