"parameter","value","share_herds_free_50y","share_herds_free_100y","share_herds_Rv_below_1","pop_prev_50y","median_herd_T"
"direct",0,0.140350877192982,0.614035087719298,0.719298245614035,0.161905455755524,84.186577573423
"direct",0.025,0.157894736842105,0.614035087719298,0.719298245614035,0.157361945813307,80.1183311448037
"direct",0.05,0.228070175438596,0.614035087719298,0.736842105263158,0.152815093543604,76.4770447935579
"direct",0.075,0.245614035087719,0.649122807017544,0.754385964912281,0.148254717738626,73.1958906114932
"direct",0.1,0.280701754385965,0.666666666666667,0.754385964912281,0.143670922019248,70.2214467857917
"direct",0.125,0.298245614035088,0.666666666666667,0.754385964912281,0.139054511321311,67.5104710200259
"direct",0.15,0.298245614035088,0.68421052631579,0.754385964912281,0.134397376352447,65.0275569451121
"direct",0.175,0.298245614035088,0.701754385964912,0.754385964912281,0.129692801556188,62.7434104395021
"direct",0.2,0.298245614035088,0.719298245614035,0.754385964912281,0.124935652341917,60.6335665559779
"direct",0.225,0.333333333333333,0.719298245614035,0.771929824561403,0.120122402364281,58.677405503543
"direct",0.25,0.333333333333333,0.736842105263158,0.789473684210526,0.115250967649603,56.8574098135734
"direct",0.275,0.385964912280702,0.754385964912281,0.807017543859649,0.11032031701136,55.1585754641635
"direct",0.3,0.43859649122807,0.754385964912281,0.807017543859649,0.10532982943055,53.5679554997184
"direct",0.325,0.473684210526316,0.754385964912281,0.824561403508772,0.100278384667717,52.0742951735793
"direct",0.35,0.491228070175439,0.754385964912281,0.824561403508772,0.0951632336579949,50.6677405031072
"direct",0.375,0.526315789473684,0.754385964912281,0.824561403508772,0.0899788290441982,49.3396023780978
"direct",0.4,0.543859649122807,0.771929824561403,0.842105263157895,0.0847159984090616,48.082164021196
"direct",0.425,0.614035087719298,0.807017543859649,0.859649122807018,0.0793620442573118,46.8885212118899
"direct",0.45,0.649122807017544,0.807017543859649,0.859649122807018,0.0739024246802511,45.7524574080095
"direct",0.475,0.666666666666667,0.824561403508772,0.859649122807018,0.0683244613744064,44.6683052897782
"direct",0.5,0.701754385964912,0.824561403508772,0.859649122807018,0.0626229470705988,43.6308988486157
"direct",0.525,0.719298245614035,0.842105263157895,0.87719298245614,0.0568066230524512,42.6354472547132
"direct",0.55,0.719298245614035,0.859649122807018,0.87719298245614,0.0509035592234602,41.6774795992106
"direct",0.575,0.754385964912281,0.859649122807018,0.894736842105263,0.0449631522910604,40.7527780764899
"direct",0.6,0.754385964912281,0.859649122807018,0.912280701754386,0.039053472487594,39.8572722725884
"direct",0.625,0.754385964912281,0.87719298245614,0.912280701754386,0.0332546224581454,38.9870833155729
"direct",0.65,0.789473684210526,0.87719298245614,0.929824561403509,0.0276495149550103,38.1382917491596
"direct",0.675,0.807017543859649,0.894736842105263,0.947368421052632,0.022312581232029,37.3070442578888
"direct",0.7,0.824561403508772,0.912280701754386,0.964912280701754,0.0173010037428615,36.4893283965318
"direct",0.725,0.842105263157895,0.929824561403509,0.964912280701754,0.012669103662183,35.6809075112398
"direct",0.75,0.859649122807018,0.947368421052632,0.964912280701754,0.00852993368449495,34.8772709010034
"direct",0.775,0.87719298245614,0.964912280701754,0.964912280701754,0.00511309158048134,34.0733776956723
"direct",0.8,0.894736842105263,0.964912280701754,1,0.00266471447750062,33.2634677292592
"direct",0.825,0.912280701754386,0.982456140350877,1,0.00120716949054811,32.4407083867204
"direct",0.85,0.947368421052632,1,1,0.000487216971116662,31.5968546313497
"direct",0.875,0.964912280701754,1,1,0.000182032309842171,30.7214905436385
"direct",0.9,1,1,1,6.5708992787928e-05,29.8009923541566
"direct",0.925,1,1,1,2.39089446194281e-05,28.8170281455184
"direct",0.95,1,1,1,9.01892817227008e-06,27.7439390499084
"indirect",0,0.0350877192982456,0.228070175438596,0.333333333333333,0.279293519395851,Inf
"indirect",0.025,0.0350877192982456,0.245614035087719,0.368421052631579,0.270914471003293,Inf
"indirect",0.05,0.0350877192982456,0.280701754385965,0.403508771929825,0.26251681368878,Inf
"indirect",0.075,0.0526315789473684,0.298245614035088,0.43859649122807,0.254122281682529,Inf
"indirect",0.1,0.0526315789473684,0.298245614035088,0.473684210526316,0.245756094703694,Inf
"indirect",0.125,0.0526315789473684,0.298245614035088,0.491228070175439,0.237445863440276,Inf
"indirect",0.15,0.0526315789473684,0.298245614035088,0.491228070175439,0.229220016149392,Inf
"indirect",0.175,0.0526315789473684,0.333333333333333,0.526315789473684,0.221105812942149,Inf
"indirect",0.2,0.0526315789473684,0.333333333333333,0.526315789473684,0.213127096610913,Inf
"indirect",0.225,0.087719298245614,0.368421052631579,0.614035087719298,0.205301983453831,Inf
"indirect",0.25,0.105263157894737,0.421052631578947,0.614035087719298,0.197640708004956,Inf
"indirect",0.275,0.105263157894737,0.43859649122807,0.649122807017544,0.190143816302332,Inf
"indirect",0.3,0.157894736842105,0.491228070175439,0.666666666666667,0.182800887695221,Inf
"indirect",0.325,0.192982456140351,0.526315789473684,0.68421052631579,0.175589981122313,98.3359342210386
"indirect",0.35,0.245614035087719,0.526315789473684,0.701754385964912,0.168478037804973,88.5638249480888
"indirect",0.375,0.280701754385965,0.614035087719298,0.719298245614035,0.161422488998236,80.8013023793626
"indirect",0.4,0.298245614035088,0.614035087719298,0.719298245614035,0.154374266201347,74.4829058187582
"indirect",0.425,0.298245614035088,0.649122807017544,0.754385964912281,0.14728223049146,69.2395891144605
"indirect",0.45,0.298245614035088,0.666666666666667,0.754385964912281,0.140098647578368,64.8198517445021
"indirect",0.475,0.333333333333333,0.701754385964912,0.754385964912281,0.132784738156138,61.0461705078627
"indirect",0.5,0.368421052631579,0.719298245614035,0.754385964912281,0.125314800076016,57.7895314617337
"indirect",0.525,0.421052631578947,0.719298245614035,0.771929824561403,0.117677420261835,54.9538156167474
"indirect",0.55,0.473684210526316,0.754385964912281,0.807017543859649,0.109872940378313,52.4658546434852
"indirect",0.575,0.491228070175439,0.754385964912281,0.807017543859649,0.101906761191014,50.2688836276182
"indirect",0.6,0.526315789473684,0.754385964912281,0.824561403508772,0.0937779525624086,48.3181071598701
"indirect",0.625,0.614035087719298,0.771929824561403,0.842105263157895,0.0854647736520677,46.577631330089
"indirect",0.65,0.649122807017544,0.807017543859649,0.859649122807018,0.0769164469269613,45.0182940297647
"indirect",0.675,0.68421052631579,0.824561403508772,0.859649122807018,0.0680686692260972,43.6160918382988
"indirect",0.7,0.719298245614035,0.842105263157895,0.87719298245614,0.0588939479477257,42.3510698293715
"indirect",0.725,0.736842105263158,0.859649122807018,0.87719298245614,0.0494685072429331,41.2064514034753
"indirect",0.75,0.754385964912281,0.859649122807018,0.912280701754386,0.0400048257990252,40.16800170619
"indirect",0.775,0.754385964912281,0.87719298245614,0.912280701754386,0.0308132140204467,39.2235874514051
"indirect",0.8,0.807017543859649,0.894736842105263,0.947368421052632,0.022212063559909,38.3627260769118
"indirect",0.825,0.824561403508772,0.912280701754386,0.964912280701754,0.0144493816584753,37.5764048084175
"indirect",0.85,0.859649122807018,0.947368421052632,0.964912280701754,0.00788883130742074,36.85673863556
"indirect",0.875,0.87719298245614,0.964912280701754,1,0.00333515291533299,36.1968713626027
"indirect",0.9,0.912280701754386,1,1,0.00110680460835214,35.590747449979
"indirect",0.925,0.947368421052632,1,1,0.000331960955384401,35.0330923121025
"indirect",0.95,0.964912280701754,1,1,0.000109155106728067,34.5191856637452
"duration",1,0,0,0,0.46897734702568,Inf
"duration",1.5,0,0,0.0175438596491228,0.416515490306994,Inf
"duration",2,0,0,0.0350877192982456,0.374428119893738,Inf
"duration",2.5,0,0.0175438596491228,0.0526315789473684,0.339973395209855,Inf
"duration",3,0,0.0350877192982456,0.0701754385964912,0.311420473655609,Inf
"duration",3.5,0,0.0350877192982456,0.105263157894737,0.28751958740159,Inf
"duration",4,0,0.0526315789473684,0.157894736842105,0.267292121212348,Inf
"duration",4.5,0,0.0526315789473684,0.245614035087719,0.249967293229813,Inf
"duration",5,0,0.087719298245614,0.280701754385965,0.234955431344725,Inf
"duration",5.5,0.0175438596491228,0.105263157894737,0.298245614035088,0.221817209035334,Inf
"duration",6,0.0175438596491228,0.157894736842105,0.298245614035088,0.210227813281447,Inf
"duration",6.5,0.0350877192982456,0.228070175438596,0.333333333333333,0.199943985108797,Inf
"duration",7,0.0350877192982456,0.245614035087719,0.333333333333333,0.190778401192607,Inf
"duration",7.5,0.0350877192982456,0.280701754385965,0.403508771929825,0.182581740946492,Inf
"duration",8,0.0526315789473684,0.298245614035088,0.43859649122807,0.175230917173626,Inf
"duration",8.5,0.0526315789473684,0.298245614035088,0.473684210526316,0.168621658970959,Inf
"duration",9,0.0526315789473684,0.298245614035088,0.491228070175439,0.16266393952536,Inf
"duration",9.5,0.0526315789473684,0.333333333333333,0.491228070175439,0.157279157571036,Inf
"duration",10,0.0526315789473684,0.333333333333333,0.526315789473684,0.152398335790618,Inf
"duration",11,0.087719298245614,0.403508771929825,0.596491228070175,0.143913602652252,Inf
"duration",12,0.105263157894737,0.43859649122807,0.614035087719298,0.136809276436535,Inf
"duration",13,0.140350877192982,0.473684210526316,0.649122807017544,0.130779654903901,Inf
"duration",14,0.192982456140351,0.491228070175439,0.666666666666667,0.125593201354718,Inf
"duration",15,0.245614035087719,0.526315789473684,0.68421052631579,0.121075276931592,90.5057041486493
"duration",16,0.280701754385965,0.578947368421053,0.701754385964912,0.117094140974025,83.26025360357
"duration",17,0.280701754385965,0.614035087719298,0.719298245614035,0.113550012958903,77.8357254257601
"duration",18,0.298245614035088,0.614035087719298,0.719298245614035,0.110366762901228,73.6207665055612
"duration",19,0.298245614035088,0.649122807017544,0.719298245614035,0.107485720424829,70.2510824965172
"duration",20,0.298245614035088,0.649122807017544,0.736842105263158,0.1048611207302,67.4957461800568
