"R0","N","schedule","p_free_10y","p_free_20y","p_free_50y","p_free_100y","median_T","Rv"
5,100,"Lifelong immunity, calves only (paper assumption)",0,0.005,0.91,1,34.4821917808219,0.546
8,100,"Lifelong immunity, calves only (paper assumption)",0,0,0.41,0.96,52.5643835616438,0.8736
1.2,200,"Lifelong immunity, calves only (paper assumption)",0,0.41,1,1,21.7013698630137,0.13104
1.5,200,"Lifelong immunity, calves only (paper assumption)",0,0.14,1,1,25.1534246575342,0.1638
2,200,"Lifelong immunity, calves only (paper assumption)",0,0.03,0.99,1,28.0712328767123,0.2184
3,200,"Lifelong immunity, calves only (paper assumption)",0,0,0.98,1,32.4684931506849,0.3276
5,200,"Lifelong immunity, calves only (paper assumption)",0,0,0.835,1,40.358904109589,0.546
8,200,"Lifelong immunity, calves only (paper assumption)",0,0,0.19,0.9,65.7561643835616,0.8736
1.2,5,"18-month immunity, calves only",0.81,0.95,0.995,1,3.4958904109589,0.889281826056505
1.5,5,"18-month immunity, calves only",0.685,0.88,1,1,7.15342465753425,1.11160228257063
2,5,"18-month immunity, calves only",0.54,0.83,0.99,1,9.08493150684932,1.48213637676084
3,5,"18-month immunity, calves only",0.465,0.755,0.995,1,10.7287671232877,2.22320456514126
5,5,"18-month immunity, calves only",0.325,0.59,0.93,1,15.8246575342466,3.7053409419021
8,5,"18-month immunity, calves only",0.19,0.445,0.865,0.995,22.6465753424658,5.92854550704337
1.2,10,"18-month immunity, calves only",0.63,0.865,0.995,1,7.48219178082192,0.889281826056505
1.5,10,"18-month immunity, calves only",0.49,0.785,0.965,1,10.0712328767123,1.11160228257063
2,10,"18-month immunity, calves only",0.22,0.585,0.935,1,17.0575342465753,1.48213637676084
3,10,"18-month immunity, calves only",0.18,0.465,0.83,0.97,21.413698630137,2.22320456514126
5,10,"18-month immunity, calves only",0.065,0.24,0.58,0.825,42.2082191780822,3.7053409419021
8,10,"18-month immunity, calves only",0.055,0.165,0.46,0.69,54.5369863013699,5.92854550704337
1.2,20,"18-month immunity, calves only",0.49,0.805,0.995,1,10.7287671232877,0.889281826056505
1.5,20,"18-month immunity, calves only",0.19,0.595,0.935,1,18.0849315068493,1.11160228257063
2,20,"18-month immunity, calves only",0.07,0.325,0.79,0.965,28.0301369863014,1.48213637676084
3,20,"18-month immunity, calves only",0.03,0.11,0.435,0.69,63.2082191780822,2.22320456514126
5,20,"18-month immunity, calves only",0.01,0.025,0.13,0.265,Inf,3.7053409419021
8,20,"18-month immunity, calves only",0,0,0.03,0.045,Inf,5.92854550704337
1.2,50,"18-month immunity, calves only",0.12,0.515,0.96,1,18.7424657534247,0.889281826056505
1.5,50,"18-month immunity, calves only",0.01,0.18,0.755,0.965,33.8246575342466,1.11160228257063
2,50,"18-month immunity, calves only",0,0.045,0.31,0.69,73.9342465753425,1.48213637676084
3,50,"18-month immunity, calves only",0,0.005,0.025,0.06,Inf,2.22320456514126
5,50,"18-month immunity, calves only",0,0,0,0,Inf,3.7053409419021
8,50,"18-month immunity, calves only",0,0,0,0,Inf,5.92854550704337
1.2,100,"18-month immunity, calves only",0.005,0.185,0.855,0.995,30.2082191780822,0.889281826056505
1.5,100,"18-month immunity, calves only",0,0.03,0.5,0.86,49.7698630136986,1.11160228257063
2,100,"18-month immunity, calves only",0,0,0.05,0.155,Inf,1.48213637676084
3,100,"18-month immunity, calves only",0,0,0,0,Inf,2.22320456514126
5,100,"18-month immunity, calves only",0,0,0,0,Inf,3.7053409419021
8,100,"18-month immunity, calves only",0,0,0,0,Inf,5.92854550704337
1.2,200,"18-month immunity, calves only",0,0.05,0.7,0.995,40.4,0.889281826056505
1.5,200,"18-month immunity, calves only",0,0,0.155,0.565,90.8246575342466,1.11160228257063
2,200,"18-month immunity, calves only",0,0,0,0.01,Inf,1.48213637676084
3,200,"18-month immunity, calves only",0,0,0,0,Inf,2.22320456514126
5,200,"18-month immunity, calves only",0,0,0,0,Inf,3.7053409419021
8,200,"18-month immunity, calves only",0,0,0,0,Inf,5.92854550704337
1.2,5,"18-month immunity, annual whole-herd booster",0.9,1,1,1,2.87945205479452,0.889281826056505
1.5,5,"18-month immunity, annual whole-herd booster",0.785,0.98,1,1,5.75616438356164,1.11160228257063
2,5,"18-month immunity, annual whole-herd booster",0.65,0.92,1,1,8.26301369863014,1.48213637676084
3,5,"18-month immunity, annual whole-herd booster",0.625,0.905,1,1,8.22191780821918,2.22320456514126
5,5,"18-month immunity, annual whole-herd booster",0.415,0.855,0.995,1,10.9342465753425,3.7053409419021
8,5,"18-month immunity, annual whole-herd booster",0.305,0.71,0.995,1,13.8109589041096,5.92854550704337
1.2,10,"18-month immunity, annual whole-herd booster",0.76,0.965,1,1,5.34520547945205,0.889281826056505
1.5,10,"18-month immunity, annual whole-herd booster",0.605,0.945,1,1,8.13972602739726,1.11160228257063
2,10,"18-month immunity, annual whole-herd booster",0.46,0.88,1,1,10.441095890411,1.48213637676084
3,10,"18-month immunity, annual whole-herd booster",0.265,0.815,1,1,13.6876712328767,2.22320456514126
5,10,"18-month immunity, annual whole-herd booster",0.22,0.72,1,1,15.7835616438356,3.7053409419021
8,10,"18-month immunity, annual whole-herd booster",0.11,0.465,0.99,1,21.0027397260274,5.92854550704337
1.2,20,"18-month immunity, annual whole-herd booster",0.675,0.935,1,1,7.35890410958904,0.889281826056505
1.5,20,"18-month immunity, annual whole-herd booster",0.285,0.86,0.995,1,13.1123287671233,1.11160228257063
2,20,"18-month immunity, annual whole-herd booster",0.205,0.8,1,1,14.5917808219178,1.48213637676084
3,20,"18-month immunity, annual whole-herd booster",0.095,0.66,1,1,16.9342465753425,2.22320456514126
5,20,"18-month immunity, annual whole-herd booster",0.01,0.365,0.985,1,22.1534246575342,3.7053409419021
8,20,"18-month immunity, annual whole-herd booster",0.005,0.205,0.88,1,28.7287671232877,5.92854550704337
1.2,50,"18-month immunity, annual whole-herd booster",0.33,0.895,1,1,11.9205479452055,0.889281826056505
1.5,50,"18-month immunity, annual whole-herd booster",0.065,0.695,1,1,17.2630136986301,1.11160228257063
2,50,"18-month immunity, annual whole-herd booster",0.01,0.49,0.99,1,20.0986301369863,1.48213637676084
3,50,"18-month immunity, annual whole-herd booster",0.005,0.3,0.995,1,23.386301369863,2.22320456514126
5,50,"18-month immunity, annual whole-herd booster",0,0.115,0.98,1,29.427397260274,3.7053409419021
8,50,"18-month immunity, annual whole-herd booster",0,0.01,0.68,0.975,43.9342465753425,5.92854550704337
1.2,100,"18-month immunity, annual whole-herd booster",0.08,0.73,1,1,16.441095890411,0.889281826056505
1.5,100,"18-month immunity, annual whole-herd booster",0.01,0.51,1,1,19.9753424657534,1.11160228257063
