"beta" "eff_S" "eff_I"
0.0108090538246132 0.525558079840925 0.739715492268373
0.00681925859610781 0.597507414043084 0.779805144559901
0.00814752837363701 0.550681304628243 0.741070262700598
0.00887784288463712 0.623893125494371 0.766020356365645
0.00943838157309177 0.611787687297819 0.734406727217933
0.0082981270801802 0.60519616974175 0.749959033812143
0.00829674765863882 0.609381162568642 0.645067554223805
0.00857980026324406 0.46792603247275 0.853592568187105
0.00916341499695377 0.2901790793811 0.789671111131577
0.00595277949807456 0.68871719442337 0.659160117428518
0.0112052104708404 0.63412620729062 0.823229473505471
0.0122255782603742 0.76540036932019 0.740755678472652
0.00694899312769552 0.746320413343904 0.723000491666496
0.00614997216067448 0.69686080072618 0.714739074716508
0.00604304170933542 0.642188180452191 0.66912727592224
0.0140194155170533 0.273821951040148 0.765219908807607
0.00808570649860956 0.738493871059174 0.574968479269856
0.00993867231662924 0.439921212318213 0.850391445931704
0.00859331848034521 0.744345318471098 0.791738527123252
0.0122727874751782 0.629000247622746 0.612763625758023
0.0100839359860398 0.645702779636632 0.697107343240645
0.00718642625223085 0.452546278210453 0.675611128830615
0.00915619228203673 0.442129740535762 0.606542980452236
0.00626635472178511 0.652535103879192 0.775348820195263
0.00659247342019787 0.495834943042865 0.848428941303658
0.00756782679715679 0.68073208941743 0.800359377122661
0.0080894903607775 0.478983616549802 0.861400215515499
0.00665541458310542 0.624974377581426 0.492967541951011
0.00900552473508468 0.678091042414954 0.783893785486171
0.00798980246085363 0.515495137396823 0.7495084180159
0.00817995226298046 0.646619626961749 0.871019739487857
0.0088019270624317 0.671447544158655 0.686594779765138
0.00841436964368379 0.691931234178087 0.563871625055718
0.0102307827320339 0.727264873613379 0.600925409068242
0.0107796562616204 0.447833020437852 0.865796555049991
0.00695509533542235 0.676317082231858 0.829480652468341
0.00709856878501321 0.624831914719941 0.816006598598885
0.00729981002585382 0.601939505917046 0.779883429520215
0.00825965300113657 0.54916640290595 0.83371393526446
0.0100383612985229 0.519988513433592 0.803518287331636
0.00773407208717716 0.493668082577656 0.722758060954312
0.0120754194298816 0.592132872304088 0.709266389895568
0.00471231681471072 0.614774890801265 0.56238198883157
0.0112720354118187 0.477078450930811 0.681391943369822
0.00606601527681117 0.596721108702376 0.616096521953995
0.011200989680363 0.698313643324482 0.843554516178966
0.00720903623578247 0.539772219248355 0.7439452313272
0.00852352943132526 0.343028813367833 0.727147370602287
0.00923402371833955 0.366958746427533 0.791645243138465
0.0082011416397189 0.546473580321779 0.82799510040441
0.00564376571969541 0.635832638954754 0.870775529231741
0.00572511176538169 0.518781067031723 0.77940522110764
0.00633228323321168 0.569019798267804 0.6339831938778
0.00676822150557299 0.596277818318068 0.738531755204176
0.00794035480525768 0.646713017898815 0.830226521094278
0.00830339564651981 0.493172643534964 0.557921609911973
0.00946346875643633 0.499069575339983 0.56436338233494
0.0102868329112121 0.624115699477828 0.84517193374602
0.0082286545725429 0.580524996918097 0.757559789505769
0.00838311296166901 0.579545769578158 0.661103742205445
0.00852230021676315 0.607739416539339 0.652737635154062
0.011324102749506 0.529103869896425 0.723383221567801
0.00623108392373008 0.681227892222269 0.828781240055412
0.0102276874658941 0.698791235179928 0.813467127983335
0.010837377663109 0.357517517628115 0.863095700701463
0.00881105166972146 0.341889304525441 0.789809582558146
0.010476036826957 0.277885563424148 0.715019409835588
0.00802794790246656 0.613525403205382 0.613034604498638
0.0105513208108548 0.630072574784145 0.590651029734654
0.00999261669670982 0.569241060193983 0.881947873918226
0.00990261722677369 0.660995835720769 0.864188916447004
0.0104193694100095 0.667055872196638 0.783494450155652
0.00775195721011932 0.472665441673947 0.702577330677135
0.0088295920950099 0.572926049027728 0.624961498126662
0.0094961408696485 0.377365214151502 0.879338479851469
0.00839084400976856 0.361030745227917 0.892126294303035
0.00848812690455219 0.511561432448834 0.741981913828776
0.00905747233547512 0.460238884430785 0.78645909400987
0.00999231423484271 0.596977702704929 0.622762364206675
0.00837054265237134 0.607971331861862 0.779288753916216
0.00567990578592862 0.658788890045984 0.785597141112404
0.00618185811953419 0.669867242088477 0.748072899469125
0.0100019595566661 0.555858601072567 0.84109921505926
0.00946000323270816 0.565668254349166 0.83233338736154
0.00610643844063443 0.625982849319606 0.66845228226583
0.00644610546924997 0.625155989394455 0.685594431791724
0.00777162087188539 0.454382693238979 0.768224282359243
0.00781269324181395 0.474898987138768 0.786995191590443
0.00750466322835264 0.572304595122689 0.825955117633586
0.00883736880840575 0.595216190984581 0.798744356370171
0.00759250556285984 0.601860684706444 0.797789469570329
0.00945301459683238 0.671066282751589 0.69174333535005
0.00815780410039888 0.396467101858309 0.742803000512159
0.0067057713190867 0.515970639733824 0.828523106563362
0.00652359291311324 0.611392940613897 0.777332963242619
0.00762315484122044 0.561189000132831 0.780433453029231
0.00973716004125985 0.558080295058938 0.489355936067107
0.00714596748475956 0.578674231199737 0.795914868704065
0.00628742185570654 0.638437220561769 0.837488243415214
0.00774999960432436 0.621833888775845 0.797406125214136
0.00927572093286894 0.624043011830915 0.810814200595502
0.00806077529048109 0.612306151446877 0.912899801021796
0.0088760199130172 0.608189683367149 0.899088948384144
0.0115412812308906 0.493444572261592 0.83670648955846
0.00604218546202835 0.615473938478262 0.719303287821235
0.0114719074994339 0.493236038874287 0.711762670672604
0.00593653310157512 0.57204308012202 0.728771135608739
0.0128117590189644 0.624302314203286 0.770212807303727
0.0122805995725343 0.725439831999529 0.750674745468399
0.0122805995725343 0.628344998983096 0.808044477170729
0.00868255977455002 0.627146296102449 0.571664043864622
0.0114207281441865 0.581357187696389 0.769067234469779
0.00664077212512655 0.605375407854747 0.861199051466505
0.0081235410413258 0.578389424376858 0.86520663661494
0.00656349445868101 0.575512375490379 0.720157355528728
0.0105092759464204 0.565056661241475 0.800560401850977
0.0100520953161251 0.413652419572671 0.885685066312204
0.010155573465484 0.725807971521917 0.854795256222593
0.0121343090801242 0.443522667651227 0.898451778312546
0.00616857203086058 0.558965830038838 0.920176698845161
0.00542737342457301 0.56975511964844 0.897228168720674
0.00931494233744846 0.630686214871657 0.823856362129371
0.00852405713396861 0.697622712735685 0.799808257759622
0.01164303732905 0.560383428591459 0.70956314510514
0.0109703764666521 0.581152190821347 0.751837566848823
0.00883697040338957 0.632963964118218 0.721808670371551
0.00810704186037233 0.573479569120917 0.726746468580267
0.00698883885030628 0.636840255714086 0.694910142781819
0.00703120501217933 0.634580841353504 0.768496530660157
0.00973227955777659 0.650871334241863 0.817107356292375
0.00574014197693498 0.591342393364573 0.878287656120726
0.00562500770564135 0.608056795070348 0.890510775168371
0.00815322323424229 0.696382670734888 0.745588399902453
0.00874922783292476 0.685401685329657 0.854914705216794
0.0108171923836357 0.413293190977709 0.680149303783042
0.00848470741956158 0.442701661108515 0.784009160293741
0.00809347939279221 0.628090255890415 0.65581134890463
0.0071700870871006 0.649561567589671 0.5705343489635
0.0133457623715256 0.565676864224462 0.69182642276127
0.0119997511068959 0.463747925653328 0.714362315522106
0.0134654099364392 0.628520594394983 0.816542266159059
0.00497857629167314 0.599805155357355 0.727123294106132
0.0156089256895159 0.534351066460689 0.680780105191685
0.014025116051881 0.543328235061913 0.788823518160613
0.00825999244643332 0.654051212047484 0.73570994017553
0.00678407456028756 0.473868897413988 0.62292727137293
0.00626829478438676 0.459374542626905 0.582462074729323
0.00646465728586277 0.541630250978433 0.660604359860692
0.00710853463605642 0.610003942783123 0.662678868667186
0.00686088207226061 0.590198526395659 0.757945674688279
0.00697676077847594 0.718180647676129 0.589052577127524
0.00830222651755942 0.431023299124426 0.7765435299392
0.0107331309425131 0.420622455078326 0.766772576247843
0.00646217308237228 0.607599752636872 0.779021051427096
0.00712900730460407 0.700893554419692 0.801867595888361
0.00781039574192247 0.600187277559445 0.774151258240971
0.00909692110356243 0.58457432725482 0.812501131992085
0.00909488889292566 0.554137232946856 0.642136088500455
0.00792498420844171 0.547912905905934 0.755613193810544
0.00575562844418347 0.607526000834061 0.914170803809834
0.0119542931070419 0.449215201307315 0.672039959741491
0.0098482828670353 0.419887589550261 0.74955335042216
0.00834816802816297 0.469079546498472 0.724475041308924
0.0101592015602976 0.573930754407021 0.77615215197764
0.00702664037745662 0.309130927431045 0.651397614431618
0.0101633481375167 0.578045994323473 0.846442895667787
0.00728436381730913 0.415115184969226 0.821124797790779
0.00715877077221151 0.51950129268123 0.768198888099803
0.00690071673124225 0.594527640731075 0.711482503868838
0.00735280127624189 0.531559098355082 0.830630949912199
0.00749658353453913 0.53049154885299 0.733393778148605
0.0115056429807579 0.555845277391434 0.725340002732235
0.00941004344998497 0.581643509101379 0.655724899381301
0.00749210991589603 0.439335712513871 0.860211065217387
0.00683826608581903 0.676899158839127 0.824610751204816
0.0106064275022501 0.586366454784268 0.699595447939166
0.00812947043619973 0.675801962618821 0.764753800961778
0.00812947043619973 0.6621091995651 0.77213688191964
0.0112686675245315 0.681739266102266 0.68710404416295
0.00650411679521803 0.446793428621362 0.772665786597689
0.0102108382562453 0.534066375560382 0.724931524763643
0.0107791796000357 0.547120241467793 0.577582884533315
0.00802870059418943 0.585627468713375 0.655555363847843
0.00740319849195735 0.456272042259344 0.710772680795769
0.00844998858811148 0.590706714265393 0.755209372244932
0.00839491843991299 0.625579718213491 0.746759440419731
0.00619677219989734 0.521772819824084 0.657778443889345
0.00629493141161366 0.613527860745802 0.791681297918514
0.00615499390221842 0.579200689898673 0.823761060904669
0.0069243296211592 0.568179007772142 0.749478180309725
0.0104273304671389 0.49452795784888 0.82705056835877
0.0121117454791865 0.412323821474821 0.865075100257424
0.00810903080321235 0.635884333516347 0.570368844861138
0.0106110137960933 0.636098126508188 0.834784401042483
0.011396229765606 0.473949416175347 0.802653639081574
0.0132029010935353 0.647027352602661 0.669638922080103
0.0127182142432975 0.465996340542117 0.765105857649196
0.0117422105655502 0.60418496060839 0.659077095607615
0.00604429867332947 0.665638717207925 0.838183011791327
0.0103526601841183 0.604922867985855 0.667126878403469
0.0113050473448309 0.643738648236851 0.64962616366635
0.0059529630317963 0.533245274712022 0.774064004531883
0.00583240381225735 0.586997799323271 0.769852613381791
0.00556100149802382 0.599139968401036 0.798569116369047
0.00534302954215516 0.625477411840606 0.889219030290204
0.00359216089718416 0.56621746475509 0.833179714573788
0.00997965156112549 0.457034875574203 0.851317180777498
0.00878720504178577 0.419633596566674 0.822745387741211
0.00707592627719465 0.665356347570828 0.664277937742052
0.00862213964327446 0.564061463951241 0.850443323599987
0.00867627644219343 0.519989357087199 0.901221598934442
0.00767986951594861 0.597873740966797 0.905129624662891
0.0109459233755115 0.581079029714059 0.912461049548728
