"R0","N","schedule","p_free_20y","p_free_50y"
4,5,"Lifelong immunity, calves only (paper assumption)",0.905,1
5,5,"Lifelong immunity, calves only (paper assumption)",0.84,1
6.5,5,"Lifelong immunity, calves only (paper assumption)",0.79,0.99
8,5,"Lifelong immunity, calves only (paper assumption)",0.75,1
1.2,8,"Lifelong immunity, calves only (paper assumption)",0.985,1
1.35,8,"Lifelong immunity, calves only (paper assumption)",0.975,1
1.5,8,"Lifelong immunity, calves only (paper assumption)",0.91,1
1.75,8,"Lifelong immunity, calves only (paper assumption)",0.915,1
2,8,"Lifelong immunity, calves only (paper assumption)",0.9,1
2.5,8,"Lifelong immunity, calves only (paper assumption)",0.855,1
3,8,"Lifelong immunity, calves only (paper assumption)",0.855,0.995
4,8,"Lifelong immunity, calves only (paper assumption)",0.74,0.995
5,8,"Lifelong immunity, calves only (paper assumption)",0.745,1
6.5,8,"Lifelong immunity, calves only (paper assumption)",0.665,0.99
8,8,"Lifelong immunity, calves only (paper assumption)",0.575,0.975
1.2,12,"Lifelong immunity, calves only (paper assumption)",0.965,1
1.35,12,"Lifelong immunity, calves only (paper assumption)",0.945,1
1.5,12,"Lifelong immunity, calves only (paper assumption)",0.89,1
1.75,12,"Lifelong immunity, calves only (paper assumption)",0.845,1
2,12,"Lifelong immunity, calves only (paper assumption)",0.91,1
2.5,12,"Lifelong immunity, calves only (paper assumption)",0.82,1
3,12,"Lifelong immunity, calves only (paper assumption)",0.73,1
4,12,"Lifelong immunity, calves only (paper assumption)",0.675,1
5,12,"Lifelong immunity, calves only (paper assumption)",0.635,1
6.5,12,"Lifelong immunity, calves only (paper assumption)",0.485,0.99
8,12,"Lifelong immunity, calves only (paper assumption)",0.38,0.94
1.2,20,"Lifelong immunity, calves only (paper assumption)",0.925,1
1.35,20,"Lifelong immunity, calves only (paper assumption)",0.86,1
1.5,20,"Lifelong immunity, calves only (paper assumption)",0.82,0.995
1.75,20,"Lifelong immunity, calves only (paper assumption)",0.82,1
2,20,"Lifelong immunity, calves only (paper assumption)",0.765,1
2.5,20,"Lifelong immunity, calves only (paper assumption)",0.61,1
3,20,"Lifelong immunity, calves only (paper assumption)",0.555,1
4,20,"Lifelong immunity, calves only (paper assumption)",0.505,0.995
5,20,"Lifelong immunity, calves only (paper assumption)",0.43,0.995
6.5,20,"Lifelong immunity, calves only (paper assumption)",0.35,0.975
8,20,"Lifelong immunity, calves only (paper assumption)",0.21,0.87
1.2,35,"Lifelong immunity, calves only (paper assumption)",0.9,1
1.35,35,"Lifelong immunity, calves only (paper assumption)",0.75,1
1.5,35,"Lifelong immunity, calves only (paper assumption)",0.715,1
1.75,35,"Lifelong immunity, calves only (paper assumption)",0.655,0.995
2,35,"Lifelong immunity, calves only (paper assumption)",0.575,0.99
2.5,35,"Lifelong immunity, calves only (paper assumption)",0.415,1
3,35,"Lifelong immunity, calves only (paper assumption)",0.39,1
4,35,"Lifelong immunity, calves only (paper assumption)",0.305,0.985
5,35,"Lifelong immunity, calves only (paper assumption)",0.22,0.98
6.5,35,"Lifelong immunity, calves only (paper assumption)",0.125,0.94
8,35,"Lifelong immunity, calves only (paper assumption)",0.07,0.875
1.2,50,"Lifelong immunity, calves only (paper assumption)",0.82,1
1.35,50,"Lifelong immunity, calves only (paper assumption)",0.7,1
1.5,50,"Lifelong immunity, calves only (paper assumption)",0.61,1
1.75,50,"Lifelong immunity, calves only (paper assumption)",0.47,1
2,50,"Lifelong immunity, calves only (paper assumption)",0.465,1
2.5,50,"Lifelong immunity, calves only (paper assumption)",0.325,0.995
3,50,"Lifelong immunity, calves only (paper assumption)",0.25,1
4,50,"Lifelong immunity, calves only (paper assumption)",0.16,0.965
5,50,"Lifelong immunity, calves only (paper assumption)",0.075,0.97
6.5,50,"Lifelong immunity, calves only (paper assumption)",0.03,0.885
8,50,"Lifelong immunity, calves only (paper assumption)",0.02,0.76
1.2,75,"Lifelong immunity, calves only (paper assumption)",0.65,1
1.35,75,"Lifelong immunity, calves only (paper assumption)",0.58,1
1.5,75,"Lifelong immunity, calves only (paper assumption)",0.48,1
1.75,75,"Lifelong immunity, calves only (paper assumption)",0.355,1
2,75,"Lifelong immunity, calves only (paper assumption)",0.3,0.995
2.5,75,"Lifelong immunity, calves only (paper assumption)",0.21,0.995
3,75,"Lifelong immunity, calves only (paper assumption)",0.16,0.995
4,75,"Lifelong immunity, calves only (paper assumption)",0.04,0.98
5,75,"Lifelong immunity, calves only (paper assumption)",0.015,0.93
6.5,75,"Lifelong immunity, calves only (paper assumption)",0,0.81
8,75,"Lifelong immunity, calves only (paper assumption)",0,0.51
1.2,100,"Lifelong immunity, calves only (paper assumption)",0.66,1
1.35,100,"Lifelong immunity, calves only (paper assumption)",0.435,1
1.5,100,"Lifelong immunity, calves only (paper assumption)",0.37,1
1.75,100,"Lifelong immunity, calves only (paper assumption)",0.275,0.99
2,100,"Lifelong immunity, calves only (paper assumption)",0.19,1
2.5,100,"Lifelong immunity, calves only (paper assumption)",0.095,0.995
